"trainer/global_step","sam_distill_scannet - loss/feature_cosine_step","sam_distill_scannet - loss/feature_cosine_step__MIN","sam_distill_scannet - loss/feature_cosine_step__MAX","sam_distill_scannet - _step","sam_distill_scannet - _step__MIN","sam_distill_scannet - _step__MAX"
"819","0.1918216496706009","0.1918216496706009","0.1918216496706009","1521","1521","1521"
"829","0.24830050766468048","0.24830050766468048","0.24830050766468048","1538","1538","1538"
"839","0.19898721575737","0.19898721575737","0.19898721575737","1556","1556","1556"
"849","0.24268680810928345","0.24268680810928345","0.24268680810928345","1573","1573","1573"
"859","0.19357363879680634","0.19357363879680634","0.19357363879680634","1598","1598","1598"
"869","0.23526817560195923","0.23526817560195923","0.23526817560195923","1615","1615","1615"
"879","0.2956162989139557","0.2956162989139557","0.2956162989139557","1633","1633","1633"
"889","0.23067696392536163","0.23067696392536163","0.23067696392536163","1650","1650","1650"
"899","0.20686738193035126","0.20686738193035126","0.20686738193035126","1667","1667","1667"
"909","0.27368980646133423","0.27368980646133423","0.27368980646133423","1688","1688","1688"
"919","0.26673537492752075","0.26673537492752075","0.26673537492752075","1706","1706","1706"
"929","0.2550375461578369","0.2550375461578369","0.2550375461578369","1723","1723","1723"
"939","0.25447899103164673","0.25447899103164673","0.25447899103164673","1740","1740","1740"
"949","0.18266159296035767","0.18266159296035767","0.18266159296035767","1758","1758","1758"
"959","0.2654622495174408","0.2654622495174408","0.2654622495174408","1783","1783","1783"
"969","0.2041500210762024","0.2041500210762024","0.2041500210762024","1800","1800","1800"
"979","0.2534167170524597","0.2534167170524597","0.2534167170524597","1817","1817","1817"
"989","0.19089007377624512","0.19089007377624512","0.19089007377624512","1835","1835","1835"
"999","0.24874098598957062","0.24874098598957062","0.24874098598957062","1852","1852","1852"
"1009","0.25548169016838074","0.25548169016838074","0.25548169016838074","1873","1873","1873"
"1019","0.22623306512832642","0.22623306512832642","0.22623306512832642","1890","1890","1890"
"1029","0.1971484273672104","0.1971484273672104","0.1971484273672104","1908","1908","1908"
"1039","0.26042720675468445","0.26042720675468445","0.26042720675468445","1920","1920","1920"
"1049","0.2684478461742401","0.2684478461742401","0.2684478461742401","1938","1938","1938"
"1059","0.25845766067504883","0.25845766067504883","0.25845766067504883","1963","1963","1963"
"1069","0.24720127880573273","0.24720127880573273","0.24720127880573273","1981","1981","1981"
"1079","0.19467809796333313","0.19467809796333313","0.19467809796333313","1998","1998","1998"
"1089","0.21213145554065704","0.21213145554065704","0.21213145554065704","2015","2015","2015"
"1099","0.21050558984279633","0.21050558984279633","0.21050558984279633","2032","2032","2032"
"1109","0.2401164174079895","0.2401164174079895","0.2401164174079895","2058","2058","2058"
"1119","0.2149648368358612","0.2149648368358612","0.2149648368358612","2075","2075","2075"
"1129","0.2544366419315338","0.2544366419315338","0.2544366419315338","2092","2092","2092"
"1139","0.27220404148101807","0.27220404148101807","0.27220404148101807","2109","2109","2109"
"1149","0.2588161826133728","0.2588161826133728","0.2588161826133728","2127","2127","2127"
"1159","0.192698135972023","0.192698135972023","0.192698135972023","2152","2152","2152"
"1169","0.2578306794166565","0.2578306794166565","0.2578306794166565","2164","2164","2164"
"1179","0.2279035747051239","0.2279035747051239","0.2279035747051239","2182","2182","2182"
"1189","0.30921754240989685","0.30921754240989685","0.30921754240989685","2200","2200","2200"
"1199","0.2709559202194214","0.2709559202194214","0.2709559202194214","2217","2217","2217"
"1209","0.1934695541858673","0.1934695541858673","0.1934695541858673","2242","2242","2242"
"1219","0.2494743913412094","0.2494743913412094","0.2494743913412094","2259","2259","2259"
"1229","0.2316715270280838","0.2316715270280838","0.2316715270280838","2277","2277","2277"
"1239","0.22198843955993652","0.22198843955993652","0.22198843955993652","2294","2294","2294"
"1249","0.19253839552402496","0.19253839552402496","0.19253839552402496","2311","2311","2311"
"1259","0.24744616448879242","0.24744616448879242","0.24744616448879242","2336","2336","2336"
"1269","0.27017393708229065","0.27017393708229065","0.27017393708229065","2354","2354","2354"
"1279","0.2539466917514801","0.2539466917514801","0.2539466917514801","2371","2371","2371"
"1289","0.1917286217212677","0.1917286217212677","0.1917286217212677","2388","2388","2388"
"1299","0.2563149929046631","0.2563149929046631","0.2563149929046631","2401","2401","2401"
"1309","0.27401724457740784","0.27401724457740784","0.27401724457740784","2427","2427","2427"
"1319","0.22849225997924805","0.22849225997924805","0.22849225997924805","2444","2444","2444"
"1329","0.26463213562965393","0.26463213562965393","0.26463213562965393","2461","2461","2461"
"1339","0.21274247765541077","0.21274247765541077","0.21274247765541077","2479","2479","2479"
"1349","0.24680562317371368","0.24680562317371368","0.24680562317371368","2496","2496","2496"
"1359","0.2365533858537674","0.2365533858537674","0.2365533858537674","2521","2521","2521"
"1369","0.2410772144794464","0.2410772144794464","0.2410772144794464","2538","2538","2538"
"1379","0.20233725011348724","0.20233725011348724","0.20233725011348724","2556","2556","2556"
"1389","0.2512635588645935","0.2512635588645935","0.2512635588645935","2573","2573","2573"
"1399","0.2845645546913147","0.2845645546913147","0.2845645546913147","2590","2590","2590"
"1409","0.274825781583786","0.274825781583786","0.274825781583786","2615","2615","2615"
"1419","0.1970745325088501","0.1970745325088501","0.1970745325088501","2633","2633","2633"
"1429","0.22406885027885437","0.22406885027885437","0.22406885027885437","2645","2645","2645"
"1439","0.22880776226520538","0.22880776226520538","0.22880776226520538","2663","2663","2663"
"1449","0.27079975605010986","0.27079975605010986","0.27079975605010986","2680","2680","2680"
"1459","0.28416022658348083","0.28416022658348083","0.28416022658348083","2706","2706","2706"
"1469","0.1723833829164505","0.1723833829164505","0.1723833829164505","2723","2723","2723"
"1479","0.2452327460050583","0.2452327460050583","0.2452327460050583","2740","2740","2740"
"1489","0.1998644769191742","0.1998644769191742","0.1998644769191742","2757","2757","2757"
"1499","0.23607410490512848","0.23607410490512848","0.23607410490512848","2775","2775","2775"
"1509","0.20228144526481628","0.20228144526481628","0.20228144526481628","2800","2800","2800"
"1519","0.2640276551246643","0.2640276551246643","0.2640276551246643","2817","2817","2817"
"1529","0.3181745707988739","0.3181745707988739","0.3181745707988739","2834","2834","2834"
"1539","0.2435988336801529","0.2435988336801529","0.2435988336801529","2852","2852","2852"
"1549","0.1834515780210495","0.1834515780210495","0.1834515780210495","2869","2869","2869"
"1559","0.29159456491470337","0.29159456491470337","0.29159456491470337","2889","2889","2889"
"1569","0.26844945549964905","0.26844945549964905","0.26844945549964905","2907","2907","2907"
"1579","0.2730433940887451","0.2730433940887451","0.2730433940887451","2925","2925","2925"
"1589","0.2584034204483032","0.2584034204483032","0.2584034204483032","2942","2942","2942"
"1599","0.1946311742067337","0.1946311742067337","0.1946311742067337","2959","2959","2959"
"1609","0.2548568546772003","0.2548568546772003","0.2548568546772003","2984","2984","2984"
"1619","0.24286572635173798","0.24286572635173798","0.24286572635173798","3002","3002","3002"
"1629","0.20207102596759796","0.20207102596759796","0.20207102596759796","3019","3019","3019"
"1639","0.2030196636915207","0.2030196636915207","0.2030196636915207","3036","3036","3036"
"1649","0.2387905716896057","0.2387905716896057","0.2387905716896057","3053","3053","3053"
"1659","0.29118016362190247","0.29118016362190247","0.29118016362190247","3079","3079","3079"
"1669","0.24835798144340515","0.24835798144340515","0.24835798144340515","3096","3096","3096"
"1679","0.1814390867948532","0.1814390867948532","0.1814390867948532","3113","3113","3113"
"1689","0.2533302307128906","0.2533302307128906","0.2533302307128906","3126","3126","3126"
"1699","0.2851777672767639","0.2851777672767639","0.2851777672767639","3144","3144","3144"
"1709","0.2656945288181305","0.2656945288181305","0.2656945288181305","3169","3169","3169"
"1719","0.22570838034152985","0.22570838034152985","0.22570838034152985","3186","3186","3186"
"1729","0.18740837275981903","0.18740837275981903","0.18740837275981903","3204","3204","3204"
"1739","0.2003146857023239","0.2003146857023239","0.2003146857023239","3221","3221","3221"
"1749","0.24448728561401367","0.24448728561401367","0.24448728561401367","3238","3238","3238"
"1759","0.23934926092624664","0.23934926092624664","0.23934926092624664","3263","3263","3263"
"1769","0.19296421110630035","0.19296421110630035","0.19296421110630035","3281","3281","3281"
"1779","0.2339932918548584","0.2339932918548584","0.2339932918548584","3298","3298","3298"
"1789","0.27738937735557556","0.27738937735557556","0.27738937735557556","3315","3315","3315"
"1799","0.25692737102508545","0.25692737102508545","0.25692737102508545","3332","3332","3332"
"1809","0.18177933990955353","0.18177933990955353","0.18177933990955353","3358","3358","3358"
"1819","0.24216805398464203","0.24216805398464203","0.24216805398464203","3370","3370","3370"
"1829","0.23611702024936676","0.23611702024936676","0.23611702024936676","3388","3388","3388"
"1839","0.2708321213722229","0.2708321213722229","0.2708321213722229","3405","3405","3405"
"1849","0.26559752225875854","0.26559752225875854","0.26559752225875854","3423","3423","3423"
"1859","0.19238567352294922","0.19238567352294922","0.19238567352294922","3448","3448","3448"
"1869","0.20288348197937012","0.20288348197937012","0.20288348197937012","3465","3465","3465"
"1879","0.23711329698562622","0.23711329698562622","0.23711329698562622","3482","3482","3482"
"1889","0.25535905361175537","0.25535905361175537","0.25535905361175537","3500","3500","3500"
"1899","0.19622857868671417","0.19622857868671417","0.19622857868671417","3517","3517","3517"
"1909","0.2663004398345947","0.2663004398345947","0.2663004398345947","3542","3542","3542"
"1919","0.25476935505867004","0.25476935505867004","0.25476935505867004","3559","3559","3559"
"1929","0.2562218904495239","0.2562218904495239","0.2562218904495239","3577","3577","3577"
"1939","0.18001456558704376","0.18001456558704376","0.18001456558704376","3594","3594","3594"
"1949","0.28870558738708496","0.28870558738708496","0.28870558738708496","3606","3606","3606"
"1959","0.24002303183078766","0.24002303183078766","0.24002303183078766","3632","3632","3632"
"1969","0.24897800385951996","0.24897800385951996","0.24897800385951996","3650","3650","3650"
"1979","0.22926102578639984","0.22926102578639984","0.22926102578639984","3667","3667","3667"
"1989","0.18955576419830322","0.18955576419830322","0.18955576419830322","3684","3684","3684"
"1999","0.1853412538766861","0.1853412538766861","0.1853412538766861","3701","3701","3701"
"2009","0.2673923969268799","0.2673923969268799","0.2673923969268799","3727","3727","3727"
"2019","0.21952101588249207","0.21952101588249207","0.21952101588249207","3744","3744","3744"
"2029","0.16750715672969818","0.16750715672969818","0.16750715672969818","3761","3761","3761"
"2039","0.20873808860778809","0.20873808860778809","0.20873808860778809","3778","3778","3778"
"2049","0.297006756067276","0.297006756067276","0.297006756067276","3796","3796","3796"
"2059","0.23414479196071625","0.23414479196071625","0.23414479196071625","3821","3821","3821"
"2069","0.17208757996559143","0.17208757996559143","0.17208757996559143","3838","3838","3838"
"2079","0.23678013682365417","0.23678013682365417","0.23678013682365417","3851","3851","3851"
"2089","0.23339244723320007","0.23339244723320007","0.23339244723320007","3869","3869","3869"
"2099","0.25465697050094604","0.25465697050094604","0.25465697050094604","3886","3886","3886"
"2109","0.27565309405326843","0.27565309405326843","0.27565309405326843","3911","3911","3911"
"2119","0.17116864025592804","0.17116864025592804","0.17116864025592804","3929","3929","3929"
"2129","0.2247304469347","0.2247304469347","0.2247304469347","3946","3946","3946"
"2139","0.2009921371936798","0.2009921371936798","0.2009921371936798","3963","3963","3963"
"2149","0.22497333586215973","0.22497333586215973","0.22497333586215973","3980","3980","3980"
"2159","0.19812266528606415","0.19812266528606415","0.19812266528606415","4006","4006","4006"
"2169","0.2565723657608032","0.2565723657608032","0.2565723657608032","4023","4023","4023"
"2179","0.2731330096721649","0.2731330096721649","0.2731330096721649","4040","4040","4040"
"2189","0.26481860876083374","0.26481860876083374","0.26481860876083374","4057","4057","4057"
"2199","0.18402202427387238","0.18402202427387238","0.18402202427387238","4075","4075","4075"
"2209","0.276644766330719","0.276644766330719","0.276644766330719","4095","4095","4095"
"2219","0.2431473284959793","0.2431473284959793","0.2431473284959793","4113","4113","4113"
"2229","0.2617655098438263","0.2617655098438263","0.2617655098438263","4130","4130","4130"
"2239","0.26821470260620117","0.26821470260620117","0.26821470260620117","4148","4148","4148"
"2249","0.18734632432460785","0.18734632432460785","0.18734632432460785","4165","4165","4165"
"2259","0.1967959702014923","0.1967959702014923","0.1967959702014923","4190","4190","4190"
"2269","0.23926173150539398","0.23926173150539398","0.23926173150539398","4207","4207","4207"
"2279","0.24849046766757965","0.24849046766757965","0.24849046766757965","4225","4225","4225"
"2289","0.19859042763710022","0.19859042763710022","0.19859042763710022","4242","4242","4242"
"2299","0.24678362905979156","0.24678362905979156","0.24678362905979156","4259","4259","4259"
"2309","0.25471195578575134","0.25471195578575134","0.25471195578575134","4280","4280","4280"
"2319","0.1981077939271927","0.1981077939271927","0.1981077939271927","4298","4298","4298"
"2329","0.1855836808681488","0.1855836808681488","0.1855836808681488","4315","4315","4315"
"2339","0.2824240028858185","0.2824240028858185","0.2824240028858185","4327","4327","4327"
"2349","0.2586202025413513","0.2586202025413513","0.2586202025413513","4345","4345","4345"
"2359","0.2797650098800659","0.2797650098800659","0.2797650098800659","4371","4371","4371"
"2369","0.25886693596839905","0.25886693596839905","0.25886693596839905","4388","4388","4388"
"2379","0.19889909029006958","0.19889909029006958","0.19889909029006958","4405","4405","4405"
"2389","0.2696951925754547","0.2696951925754547","0.2696951925754547","4422","4422","4422"
"2399","0.2243873029947281","0.2243873029947281","0.2243873029947281","4440","4440","4440"
"2409","0.29730042815208435","0.29730042815208435","0.29730042815208435","4465","4465","4465"
"2419","0.20573894679546356","0.20573894679546356","0.20573894679546356","4482","4482","4482"
"2429","0.26171720027923584","0.26171720027923584","0.26171720027923584","4499","4499","4499"
"2439","0.27688291668891907","0.27688291668891907","0.27688291668891907","4517","4517","4517"
"2449","0.2362874150276184","0.2362874150276184","0.2362874150276184","4534","4534","4534"
"2459","0.15707285702228546","0.15707285702228546","0.15707285702228546","4559","4559","4559"
"2469","0.24178007245063782","0.24178007245063782","0.24178007245063782","4572","4572","4572"
"2479","0.2786886394023895","0.2786886394023895","0.2786886394023895","4590","4590","4590"
"2489","0.23178942501544952","0.23178942501544952","0.23178942501544952","4607","4607","4607"
"2499","0.25869691371917725","0.25869691371917725","0.25869691371917725","4624","4624","4624"
"2509","0.18050575256347656","0.18050575256347656","0.18050575256347656","4650","4650","4650"
"2519","0.20929019153118134","0.20929019153118134","0.20929019153118134","4667","4667","4667"
"2529","0.24665896594524384","0.24665896594524384","0.24665896594524384","4684","4684","4684"
"2539","0.2657080888748169","0.2657080888748169","0.2657080888748169","4701","4701","4701"
"2549","0.20382781326770782","0.20382781326770782","0.20382781326770782","4719","4719","4719"
"2559","0.2424921989440918","0.2424921989440918","0.2424921989440918","4744","4744","4744"
"2569","0.2704697251319885","0.2704697251319885","0.2704697251319885","4761","4761","4761"
"2579","0.2643146216869354","0.2643146216869354","0.2643146216869354","4778","4778","4778"
"2589","0.18755173683166504","0.18755173683166504","0.18755173683166504","4796","4796","4796"
"2599","0.25250640511512756","0.25250640511512756","0.25250640511512756","4808","4808","4808"
"2609","0.24208375811576843","0.24208375811576843","0.24208375811576843","4834","4834","4834"
"2619","0.28060558438301086","0.28060558438301086","0.28060558438301086","4851","4851","4851"
"2629","0.2524353563785553","0.2524353563785553","0.2524353563785553","4869","4869","4869"
"2639","0.1995052993297577","0.1995052993297577","0.1995052993297577","4886","4886","4886"
"2649","0.20875582098960876","0.20875582098960876","0.20875582098960876","4903","4903","4903"
"2659","0.21706441044807434","0.21706441044807434","0.21706441044807434","4928","4928","4928"
"2669","0.21295389533042908","0.21295389533042908","0.21295389533042908","4946","4946","4946"
"2679","0.1893092840909958","0.1893092840909958","0.1893092840909958","4963","4963","4963"
"2689","0.241498202085495","0.241498202085495","0.241498202085495","4980","4980","4980"
"2699","0.28636395931243896","0.28636395931243896","0.28636395931243896","4997","4997","4997"
"2709","0.21602597832679749","0.21602597832679749","0.21602597832679749","5023","5023","5023"
"2719","0.1825191080570221","0.1825191080570221","0.1825191080570221","5040","5040","5040"
"2729","0.25518932938575745","0.25518932938575745","0.25518932938575745","5052","5052","5052"
"2739","0.2532322108745575","0.2532322108745575","0.2532322108745575","5070","5070","5070"
"2749","0.29351186752319336","0.29351186752319336","0.29351186752319336","5088","5088","5088"
"2759","0.25613853335380554","0.25613853335380554","0.25613853335380554","5113","5113","5113"
"2769","0.17984765768051147","0.17984765768051147","0.17984765768051147","5130","5130","5130"
"2779","0.21540601551532745","0.21540601551532745","0.21540601551532745","5147","5147","5147"
"2789","0.22284479439258575","0.22284479439258575","0.22284479439258575","5165","5165","5165"
"2799","0.19688323140144348","0.19688323140144348","0.19688323140144348","5182","5182","5182"
"2809","0.1605464518070221","0.1605464518070221","0.1605464518070221","5207","5207","5207"
"2819","0.24181348085403442","0.24181348085403442","0.24181348085403442","5224","5224","5224"
"2829","0.3020945191383362","0.3020945191383362","0.3020945191383362","5242","5242","5242"
"2839","0.23980194330215454","0.23980194330215454","0.23980194330215454","5259","5259","5259"
"2849","0.18589390814304352","0.18589390814304352","0.18589390814304352","5276","5276","5276"
"2859","0.24838148057460785","0.24838148057460785","0.24838148057460785","5297","5297","5297"
"2869","0.23863185942173004","0.23863185942173004","0.23863185942173004","5315","5315","5315"
"2879","0.2554408609867096","0.2554408609867096","0.2554408609867096","5332","5332","5332"
"2889","0.25668013095855713","0.25668013095855713","0.25668013095855713","5349","5349","5349"
"2899","0.1745777726173401","0.1745777726173401","0.1745777726173401","5367","5367","5367"
"2909","0.20864173769950867","0.20864173769950867","0.20864173769950867","5392","5392","5392"
"2919","0.2189556509256363","0.2189556509256363","0.2189556509256363","5409","5409","5409"
"2929","0.2431037425994873","0.2431037425994873","0.2431037425994873","5426","5426","5426"
"2939","0.17777951061725616","0.17777951061725616","0.17777951061725616","5444","5444","5444"
"2949","0.21589979529380798","0.21589979529380798","0.21589979529380798","5461","5461","5461"
"2959","0.30193960666656494","0.30193960666656494","0.30193960666656494","5482","5482","5482"
"2969","0.22871467471122742","0.22871467471122742","0.22871467471122742","5499","5499","5499"
"2979","0.18756286799907684","0.18756286799907684","0.18756286799907684","5517","5517","5517"
"2989","0.24495454132556915","0.24495454132556915","0.24495454132556915","5529","5529","5529"
"2999","0.2130247801542282","0.2130247801542282","0.2130247801542282","5547","5547","5547"
"3009","0.26272183656692505","0.26272183656692505","0.26272183656692505","5572","5572","5572"
"3019","0.2713374197483063","0.2713374197483063","0.2713374197483063","5590","5590","5590"
"3029","0.18622347712516785","0.18622347712516785","0.18622347712516785","5607","5607","5607"
"3039","0.20079684257507324","0.20079684257507324","0.20079684257507324","5624","5624","5624"
"3049","0.2547339200973511","0.2547339200973511","0.2547339200973511","5641","5641","5641"
"3059","0.21710975468158722","0.21710975468158722","0.21710975468158722","5667","5667","5667"
"3069","0.1854645162820816","0.1854645162820816","0.1854645162820816","5684","5684","5684"
"3079","0.25560399889945984","0.25560399889945984","0.25560399889945984","5701","5701","5701"
"3089","0.26675838232040405","0.26675838232040405","0.26675838232040405","5718","5718","5718"
"3099","0.21685929596424103","0.21685929596424103","0.21685929596424103","5736","5736","5736"
"3109","0.18441563844680786","0.18441563844680786","0.18441563844680786","5761","5761","5761"
"3119","0.2584306299686432","0.2584306299686432","0.2584306299686432","5773","5773","5773"
"3129","0.2562071979045868","0.2562071979045868","0.2562071979045868","5791","5791","5791"
"3139","0.23976053297519684","0.23976053297519684","0.23976053297519684","5809","5809","5809"
"3149","0.2525184452533722","0.2525184452533722","0.2525184452533722","5826","5826","5826"
"3159","0.16541452705860138","0.16541452705860138","0.16541452705860138","5851","5851","5851"
"3169","0.24251164495944977","0.24251164495944977","0.24251164495944977","5868","5868","5868"
"3179","0.23823830485343933","0.23823830485343933","0.23823830485343933","5886","5886","5886"
"3189","0.2218642681837082","0.2218642681837082","0.2218642681837082","5903","5903","5903"
"3199","0.17376402020454407","0.17376402020454407","0.17376402020454407","5920","5920","5920"
"3209","0.2738918662071228","0.2738918662071228","0.2738918662071228","5945","5945","5945"
"3219","0.2824217975139618","0.2824217975139618","0.2824217975139618","5963","5963","5963"
"3229","0.2759998142719269","0.2759998142719269","0.2759998142719269","5980","5980","5980"
"3239","0.17275407910346985","0.17275407910346985","0.17275407910346985","5997","5997","5997"
"3249","0.28950220346450806","0.28950220346450806","0.28950220346450806","6010","6010","6010"
"3259","0.21854351460933685","0.21854351460933685","0.21854351460933685","6036","6036","6036"
"3269","0.2632726728916168","0.2632726728916168","0.2632726728916168","6053","6053","6053"
"3279","0.24500124156475067","0.24500124156475067","0.24500124156475067","6070","6070","6070"
"3289","0.17703543603420258","0.17703543603420258","0.17703543603420258","6088","6088","6088"
"3299","0.23486334085464478","0.23486334085464478","0.23486334085464478","6105","6105","6105"
"3309","0.1704619824886322","0.1704619824886322","0.1704619824886322","6130","6130","6130"
"3319","0.23463435471057892","0.23463435471057892","0.23463435471057892","6147","6147","6147"
"3329","0.1636900156736374","0.1636900156736374","0.1636900156736374","6165","6165","6165"
"3339","0.2706296741962433","0.2706296741962433","0.2706296741962433","6182","6182","6182"
"3349","0.25239312648773193","0.25239312648773193","0.25239312648773193","6199","6199","6199"
"3359","0.2513824701309204","0.2513824701309204","0.2513824701309204","6224","6224","6224"
"3369","0.18715640902519226","0.18715640902519226","0.18715640902519226","6242","6242","6242"
"3379","0.23951680958271027","0.23951680958271027","0.23951680958271027","6254","6254","6254"
"3389","0.22788667678833008","0.22788667678833008","0.22788667678833008","6272","6272","6272"
