"trainer/global_step","c3g-sam-base - loss/prompted_segmentation_step","c3g-sam-base - loss/prompted_segmentation_step__MIN","c3g-sam-base - loss/prompted_segmentation_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"859","0.5600143671035767","0.5600143671035767","0.5600143671035767","473","473","473"
"869","0.8231804966926575","0.8231804966926575","0.8231804966926575","478","478","478"
"879","0.5612609386444092","0.5612609386444092","0.5612609386444092","483","483","483"
"889","0.7594161629676819","0.7594161629676819","0.7594161629676819","488","488","488"
"899","0.933556318283081","0.933556318283081","0.933556318283081","493","493","493"
"909","0.7050403952598572","0.7050403952598572","0.7050403952598572","498","498","498"
"919","0.8957465887069702","0.8957465887069702","0.8957465887069702","503","503","503"
"929","1.0119831562042236","1.0119831562042236","1.0119831562042236","508","508","508"
"939","0.7956648468971252","0.7956648468971252","0.7956648468971252","513","513","513"
"949","1.1256906986236572","1.1256906986236572","1.1256906986236572","518","518","518"
"959","1.737236499786377","1.737236499786377","1.737236499786377","523","523","523"
"969","0.8562725782394409","0.8562725782394409","0.8562725782394409","528","528","528"
"979","0.9671482443809509","0.9671482443809509","0.9671482443809509","533","533","533"
"989","1.3837692737579346","1.3837692737579346","1.3837692737579346","538","538","538"
"999","1.0269886255264282","1.0269886255264282","1.0269886255264282","543","543","543"
"1009","0.8948461413383484","0.8948461413383484","0.8948461413383484","581","581","581"
"1019","1.0863063335418701","1.0863063335418701","1.0863063335418701","586","586","586"
"1029","1.543702244758606","1.543702244758606","1.543702244758606","591","591","591"
"1039","2.4514198303222656","2.4514198303222656","2.4514198303222656","596","596","596"
"1049","1.5225797891616821","1.5225797891616821","1.5225797891616821","601","601","601"
"1059","1.5152757167816162","1.5152757167816162","1.5152757167816162","606","606","606"
"1069","1.8986846208572388","1.8986846208572388","1.8986846208572388","611","611","611"
"1079","2.1273865699768066","2.1273865699768066","2.1273865699768066","617","617","617"
"1089","4.429716110229492","4.429716110229492","4.429716110229492","622","622","622"
"1099","1.4755688905715942","1.4755688905715942","1.4755688905715942","627","627","627"
"1109","1.9734033346176147","1.9734033346176147","1.9734033346176147","632","632","632"
"1119","1.2588343620300293","1.2588343620300293","1.2588343620300293","637","637","637"
"1129","2.6552376747131348","2.6552376747131348","2.6552376747131348","642","642","642"
"1139","1.7951244115829468","1.7951244115829468","1.7951244115829468","647","647","647"
"1149","1.0327261686325073","1.0327261686325073","1.0327261686325073","652","652","652"
"1159","2.646843433380127","2.646843433380127","2.646843433380127","657","657","657"
"1169","1.2465035915374756","1.2465035915374756","1.2465035915374756","662","662","662"
"1179","1.2163151502609253","1.2163151502609253","1.2163151502609253","667","667","667"
"1189","1.6252548694610596","1.6252548694610596","1.6252548694610596","672","672","672"
"1199","1.548228144645691","1.548228144645691","1.548228144645691","677","677","677"
"1209","1.7625703811645508","1.7625703811645508","1.7625703811645508","682","682","682"
"1219","2.0484347343444824","2.0484347343444824","2.0484347343444824","687","687","687"
"1229","1.3124544620513916","1.3124544620513916","1.3124544620513916","692","692","692"
"1239","1.530651569366455","1.530651569366455","1.530651569366455","697","697","697"
"1249","2.092926502227783","2.092926502227783","2.092926502227783","702","702","702"
"1259","1.3367630243301392","1.3367630243301392","1.3367630243301392","707","707","707"
"1269","1.6625447273254395","1.6625447273254395","1.6625447273254395","712","712","712"
"1279","2.020479679107666","2.020479679107666","2.020479679107666","717","717","717"
"1289","2.206542491912842","2.206542491912842","2.206542491912842","722","722","722"
"1299","1.8434714078903198","1.8434714078903198","1.8434714078903198","727","727","727"
"1309","1.0364915132522583","1.0364915132522583","1.0364915132522583","732","732","732"
"1319","0.9102511405944824","0.9102511405944824","0.9102511405944824","737","737","737"
"1329","2.899427890777588","2.899427890777588","2.899427890777588","742","742","742"
"1339","1.468691349029541","1.468691349029541","1.468691349029541","747","747","747"
"1349","1.4782966375350952","1.4782966375350952","1.4782966375350952","753","753","753"
"1359","1.368453025817871","1.368453025817871","1.368453025817871","758","758","758"
"1369","1.1555030345916748","1.1555030345916748","1.1555030345916748","763","763","763"
"1379","1.136736273765564","1.136736273765564","1.136736273765564","768","768","768"
"1389","2.3431038856506348","2.3431038856506348","2.3431038856506348","773","773","773"
"1399","1.4383456707000732","1.4383456707000732","1.4383456707000732","778","778","778"
"1409","1.2822279930114746","1.2822279930114746","1.2822279930114746","783","783","783"
"1419","1.3891677856445312","1.3891677856445312","1.3891677856445312","788","788","788"
"1429","2.2838733196258545","2.2838733196258545","2.2838733196258545","793","793","793"
"1439","1.1680608987808228","1.1680608987808228","1.1680608987808228","798","798","798"
"1449","1.6746931076049805","1.6746931076049805","1.6746931076049805","803","803","803"
"1459","1.9364482164382935","1.9364482164382935","1.9364482164382935","808","808","808"
"1469","2.377037286758423","2.377037286758423","2.377037286758423","813","813","813"
"1479","1.67142653465271","1.67142653465271","1.67142653465271","818","818","818"
"1489","1.2185053825378418","1.2185053825378418","1.2185053825378418","823","823","823"
"1499","2.11023211479187","2.11023211479187","2.11023211479187","828","828","828"
"1509","1.7520633935928345","1.7520633935928345","1.7520633935928345","866","866","866"
"1519","2.240628719329834","2.240628719329834","2.240628719329834","871","871","871"
"1529","1.3376237154006958","1.3376237154006958","1.3376237154006958","876","876","876"
"1539","1.5620306730270386","1.5620306730270386","1.5620306730270386","881","881","881"
"1549","1.2203164100646973","1.2203164100646973","1.2203164100646973","886","886","886"
"1559","1.8963521718978882","1.8963521718978882","1.8963521718978882","891","891","891"
"1569","1.6429784297943115","1.6429784297943115","1.6429784297943115","896","896","896"
"1579","0.991830050945282","0.991830050945282","0.991830050945282","901","901","901"
"1589","1.4276783466339111","1.4276783466339111","1.4276783466339111","906","906","906"
"1599","2.7915523052215576","2.7915523052215576","2.7915523052215576","911","911","911"
"1609","1.3750008344650269","1.3750008344650269","1.3750008344650269","917","917","917"
"1619","1.470447063446045","1.470447063446045","1.470447063446045","922","922","922"
"1629","1.9980405569076538","1.9980405569076538","1.9980405569076538","927","927","927"
"1639","1.338564157485962","1.338564157485962","1.338564157485962","932","932","932"
"1649","1.386135220527649","1.386135220527649","1.386135220527649","937","937","937"
"1659","1.1164196729660034","1.1164196729660034","1.1164196729660034","942","942","942"
"1669","2.5254883766174316","2.5254883766174316","2.5254883766174316","947","947","947"
"1679","1.129549503326416","1.129549503326416","1.129549503326416","952","952","952"
"1689","1.3598268032073975","1.3598268032073975","1.3598268032073975","957","957","957"
"1699","1.5676558017730713","1.5676558017730713","1.5676558017730713","962","962","962"
"1709","1.547773838043213","1.547773838043213","1.547773838043213","967","967","967"
"1719","1.2453134059906006","1.2453134059906006","1.2453134059906006","972","972","972"
"1729","1.7368760108947754","1.7368760108947754","1.7368760108947754","977","977","977"
"1739","1.4869024753570557","1.4869024753570557","1.4869024753570557","982","982","982"
"1749","1.3487600088119507","1.3487600088119507","1.3487600088119507","987","987","987"
"1759","1.5400710105895996","1.5400710105895996","1.5400710105895996","992","992","992"
"1769","1.0970300436019897","1.0970300436019897","1.0970300436019897","997","997","997"
"1779","1.6134939193725586","1.6134939193725586","1.6134939193725586","1002","1002","1002"
"1789","1.617945671081543","1.617945671081543","1.617945671081543","1007","1007","1007"
"1799","1.6115299463272095","1.6115299463272095","1.6115299463272095","1012","1012","1012"
"1809","1.1185684204101562","1.1185684204101562","1.1185684204101562","1017","1017","1017"
"1819","1.9806703329086304","1.9806703329086304","1.9806703329086304","1022","1022","1022"
"1829","1.0843089818954468","1.0843089818954468","1.0843089818954468","1027","1027","1027"
"1839","1.6960155963897705","1.6960155963897705","1.6960155963897705","1032","1032","1032"
"1849","1.7969263792037964","1.7969263792037964","1.7969263792037964","1037","1037","1037"
"1859","2.008227825164795","2.008227825164795","2.008227825164795","1042","1042","1042"
"1869","1.7389012575149536","1.7389012575149536","1.7389012575149536","1047","1047","1047"
"1879","1.1476160287857056","1.1476160287857056","1.1476160287857056","1053","1053","1053"
"1889","2.1981968879699707","2.1981968879699707","2.1981968879699707","1058","1058","1058"
"1899","2.191728115081787","2.191728115081787","2.191728115081787","1063","1063","1063"
"1909","1.6783549785614014","1.6783549785614014","1.6783549785614014","1068","1068","1068"
"1919","1.8373901844024658","1.8373901844024658","1.8373901844024658","1073","1073","1073"
"1929","1.6206731796264648","1.6206731796264648","1.6206731796264648","1078","1078","1078"
"1939","1.8126790523529053","1.8126790523529053","1.8126790523529053","1083","1083","1083"
"1949","1.0349260568618774","1.0349260568618774","1.0349260568618774","1088","1088","1088"
"1959","1.9133795499801636","1.9133795499801636","1.9133795499801636","1093","1093","1093"
"1969","1.3695306777954102","1.3695306777954102","1.3695306777954102","1098","1098","1098"
"1979","1.5908989906311035","1.5908989906311035","1.5908989906311035","1103","1103","1103"
"1989","0.7409301996231079","0.7409301996231079","0.7409301996231079","1108","1108","1108"
"1999","1.194165825843811","1.194165825843811","1.194165825843811","1113","1113","1113"
"2009","2.582231283187866","2.582231283187866","2.582231283187866","1151","1151","1151"
"2019","1.8019578456878662","1.8019578456878662","1.8019578456878662","1156","1156","1156"
"2029","1.1527918577194214","1.1527918577194214","1.1527918577194214","1161","1161","1161"
"2039","1.132830262184143","1.132830262184143","1.132830262184143","1166","1166","1166"
"2049","1.0856386423110962","1.0856386423110962","1.0856386423110962","1171","1171","1171"
"2059","1.4942978620529175","1.4942978620529175","1.4942978620529175","1176","1176","1176"
"2069","1.218914270401001","1.218914270401001","1.218914270401001","1181","1181","1181"
"2079","2.0173163414001465","2.0173163414001465","2.0173163414001465","1186","1186","1186"
"2089","1.1702308654785156","1.1702308654785156","1.1702308654785156","1191","1191","1191"
"2099","1.1057871580123901","1.1057871580123901","1.1057871580123901","1196","1196","1196"
"2109","2.168588876724243","2.168588876724243","2.168588876724243","1201","1201","1201"
"2119","0.8574087619781494","0.8574087619781494","0.8574087619781494","1206","1206","1206"
"2129","0.870833694934845","0.870833694934845","0.870833694934845","1211","1211","1211"
"2139","1.58475923538208","1.58475923538208","1.58475923538208","1216","1216","1216"
"2149","1.3119264841079712","1.3119264841079712","1.3119264841079712","1222","1222","1222"
"2159","1.6415938138961792","1.6415938138961792","1.6415938138961792","1227","1227","1227"
"2169","1.7019731998443604","1.7019731998443604","1.7019731998443604","1232","1232","1232"
"2179","1.1057292222976685","1.1057292222976685","1.1057292222976685","1237","1237","1237"
"2189","1.6253403425216675","1.6253403425216675","1.6253403425216675","1242","1242","1242"
"2199","1.5964146852493286","1.5964146852493286","1.5964146852493286","1247","1247","1247"
"2209","1.3395622968673706","1.3395622968673706","1.3395622968673706","1252","1252","1252"
"2219","1.7520594596862793","1.7520594596862793","1.7520594596862793","1257","1257","1257"
"2229","1.7378854751586914","1.7378854751586914","1.7378854751586914","1262","1262","1262"
"2239","1.270859718322754","1.270859718322754","1.270859718322754","1267","1267","1267"
"2249","1.1509921550750732","1.1509921550750732","1.1509921550750732","1272","1272","1272"
"2259","1.696753740310669","1.696753740310669","1.696753740310669","1277","1277","1277"
"2269","0.9971103668212891","0.9971103668212891","0.9971103668212891","1282","1282","1282"
"2279","2.631560802459717","2.631560802459717","2.631560802459717","1287","1287","1287"
"2289","1.5075860023498535","1.5075860023498535","1.5075860023498535","1292","1292","1292"
"2299","1.17096745967865","1.17096745967865","1.17096745967865","1297","1297","1297"
"2309","1.1237848997116089","1.1237848997116089","1.1237848997116089","1302","1302","1302"
"2319","1.964888095855713","1.964888095855713","1.964888095855713","1307","1307","1307"
"2329","1.3860793113708496","1.3860793113708496","1.3860793113708496","1312","1312","1312"
"2339","1.543299674987793","1.543299674987793","1.543299674987793","1317","1317","1317"
"2349","1.1526151895523071","1.1526151895523071","1.1526151895523071","1322","1322","1322"
"2359","1.33353590965271","1.33353590965271","1.33353590965271","1327","1327","1327"
"2369","2.2287449836730957","2.2287449836730957","2.2287449836730957","1332","1332","1332"
"2379","1.8920631408691406","1.8920631408691406","1.8920631408691406","1337","1337","1337"
"2389","1.401350736618042","1.401350736618042","1.401350736618042","1342","1342","1342"
"2399","1.29288649559021","1.29288649559021","1.29288649559021","1347","1347","1347"
"2409","1.3775248527526855","1.3775248527526855","1.3775248527526855","1352","1352","1352"
"2419","1.2778770923614502","1.2778770923614502","1.2778770923614502","1358","1358","1358"
"2429","2.5390419960021973","2.5390419960021973","2.5390419960021973","1363","1363","1363"
"2439","2.2070555686950684","2.2070555686950684","2.2070555686950684","1368","1368","1368"
"2449","1.0720423460006714","1.0720423460006714","1.0720423460006714","1373","1373","1373"
"2459","1.424208164215088","1.424208164215088","1.424208164215088","1378","1378","1378"
"2469","1.5905064344406128","1.5905064344406128","1.5905064344406128","1383","1383","1383"
"2479","1.4846988916397095","1.4846988916397095","1.4846988916397095","1388","1388","1388"
"2489","1.1616811752319336","1.1616811752319336","1.1616811752319336","1393","1393","1393"
"2499","1.5028176307678223","1.5028176307678223","1.5028176307678223","1398","1398","1398"
"2509","1.3500041961669922","1.3500041961669922","1.3500041961669922","1436","1436","1436"
"2519","2.626525640487671","2.626525640487671","2.626525640487671","1441","1441","1441"
"2529","1.9642378091812134","1.9642378091812134","1.9642378091812134","1446","1446","1446"
"2539","1.3683605194091797","1.3683605194091797","1.3683605194091797","1451","1451","1451"
"2549","1.873872995376587","1.873872995376587","1.873872995376587","1456","1456","1456"
"2559","1.5173715353012085","1.5173715353012085","1.5173715353012085","1461","1461","1461"
"2569","1.5851824283599854","1.5851824283599854","1.5851824283599854","1466","1466","1466"
"2579","1.920287013053894","1.920287013053894","1.920287013053894","1471","1471","1471"
"2589","1.3376083374023438","1.3376083374023438","1.3376083374023438","1476","1476","1476"
"2599","1.4133471250534058","1.4133471250534058","1.4133471250534058","1481","1481","1481"
"2609","1.5676887035369873","1.5676887035369873","1.5676887035369873","1486","1486","1486"
"2619","1.198581337928772","1.198581337928772","1.198581337928772","1491","1491","1491"
"2629","1.800762414932251","1.800762414932251","1.800762414932251","1496","1496","1496"
"2639","1.767287254333496","1.767287254333496","1.767287254333496","1501","1501","1501"
"2649","1.9316664934158325","1.9316664934158325","1.9316664934158325","1506","1506","1506"
"2659","1.362101674079895","1.362101674079895","1.362101674079895","1511","1511","1511"
"2669","1.8646000623703003","1.8646000623703003","1.8646000623703003","1516","1516","1516"
"2679","2.3927934169769287","2.3927934169769287","2.3927934169769287","1521","1521","1521"
"2689","1.7037084102630615","1.7037084102630615","1.7037084102630615","1527","1527","1527"
"2699","1.2015299797058105","1.2015299797058105","1.2015299797058105","1532","1532","1532"
"2709","1.2228915691375732","1.2228915691375732","1.2228915691375732","1537","1537","1537"
"2719","2.428494930267334","2.428494930267334","2.428494930267334","1542","1542","1542"
"2729","1.48788583278656","1.48788583278656","1.48788583278656","1547","1547","1547"
"2739","1.015755295753479","1.015755295753479","1.015755295753479","1552","1552","1552"
"2749","1.4510680437088013","1.4510680437088013","1.4510680437088013","1557","1557","1557"
"2759","1.2248448133468628","1.2248448133468628","1.2248448133468628","1562","1562","1562"
"2769","0.9700391292572021","0.9700391292572021","0.9700391292572021","1567","1567","1567"
"2779","0.9501898288726807","0.9501898288726807","0.9501898288726807","1572","1572","1572"
"2789","0.8496183753013611","0.8496183753013611","0.8496183753013611","1577","1577","1577"
"2799","1.0722174644470215","1.0722174644470215","1.0722174644470215","1582","1582","1582"
"2809","1.6615989208221436","1.6615989208221436","1.6615989208221436","1587","1587","1587"
"2819","1.9706439971923828","1.9706439971923828","1.9706439971923828","1592","1592","1592"
"2829","1.636976718902588","1.636976718902588","1.636976718902588","1597","1597","1597"
"2839","1.7872779369354248","1.7872779369354248","1.7872779369354248","1602","1602","1602"
"2849","1.10211181640625","1.10211181640625","1.10211181640625","1607","1607","1607"
"2859","2.3015270233154297","2.3015270233154297","2.3015270233154297","1612","1612","1612"
"2869","1.478280782699585","1.478280782699585","1.478280782699585","1617","1617","1617"
"2879","1.9429106712341309","1.9429106712341309","1.9429106712341309","1622","1622","1622"
"2889","1.6686866283416748","1.6686866283416748","1.6686866283416748","1627","1627","1627"
"2899","1.2981547117233276","1.2981547117233276","1.2981547117233276","1632","1632","1632"
"2909","1.90265953540802","1.90265953540802","1.90265953540802","1637","1637","1637"
"2919","1.909064769744873","1.909064769744873","1.909064769744873","1642","1642","1642"
"2929","1.6823821067810059","1.6823821067810059","1.6823821067810059","1647","1647","1647"
"2939","2.0322651863098145","2.0322651863098145","2.0322651863098145","1652","1652","1652"
"2949","1.1353678703308105","1.1353678703308105","1.1353678703308105","1658","1658","1658"
"2959","1.2154256105422974","1.2154256105422974","1.2154256105422974","1663","1663","1663"
"2969","1.4143732786178589","1.4143732786178589","1.4143732786178589","1668","1668","1668"
"2979","1.3035966157913208","1.3035966157913208","1.3035966157913208","1673","1673","1673"
"2989","1.733056902885437","1.733056902885437","1.733056902885437","1678","1678","1678"
"2999","1.1263500452041626","1.1263500452041626","1.1263500452041626","1683","1683","1683"
"3009","1.1456533670425415","1.1456533670425415","1.1456533670425415","1721","1721","1721"
"3019","1.3228551149368286","1.3228551149368286","1.3228551149368286","1726","1726","1726"
"3029","1.9034082889556885","1.9034082889556885","1.9034082889556885","1731","1731","1731"
"3039","1.813090205192566","1.813090205192566","1.813090205192566","1736","1736","1736"
"3049","1.6986851692199707","1.6986851692199707","1.6986851692199707","1741","1741","1741"
"3059","1.2259360551834106","1.2259360551834106","1.2259360551834106","1746","1746","1746"
"3069","2.066544532775879","2.066544532775879","2.066544532775879","1751","1751","1751"
"3079","1.0915788412094116","1.0915788412094116","1.0915788412094116","1756","1756","1756"
"3089","1.483771562576294","1.483771562576294","1.483771562576294","1761","1761","1761"
"3099","2.903954029083252","2.903954029083252","2.903954029083252","1766","1766","1766"
"3109","1.0913325548171997","1.0913325548171997","1.0913325548171997","1771","1771","1771"
"3119","1.3473771810531616","1.3473771810531616","1.3473771810531616","1776","1776","1776"
"3129","1.659049391746521","1.659049391746521","1.659049391746521","1781","1781","1781"
"3139","1.4508037567138672","1.4508037567138672","1.4508037567138672","1786","1786","1786"
"3149","1.4036288261413574","1.4036288261413574","1.4036288261413574","1791","1791","1791"
"3159","1.6977429389953613","1.6977429389953613","1.6977429389953613","1796","1796","1796"
"3169","1.410054087638855","1.410054087638855","1.410054087638855","1801","1801","1801"
"3179","1.4504871368408203","1.4504871368408203","1.4504871368408203","1806","1806","1806"
"3189","0.9944548606872559","0.9944548606872559","0.9944548606872559","1811","1811","1811"
"3199","1.869720458984375","1.869720458984375","1.869720458984375","1816","1816","1816"
"3209","1.5501652956008911","1.5501652956008911","1.5501652956008911","1821","1821","1821"
"3219","1.1709924936294556","1.1709924936294556","1.1709924936294556","1827","1827","1827"
"3229","1.5590981245040894","1.5590981245040894","1.5590981245040894","1832","1832","1832"
"3239","0.8933126926422119","0.8933126926422119","0.8933126926422119","1837","1837","1837"
"3249","1.3724234104156494","1.3724234104156494","1.3724234104156494","1842","1842","1842"
"3259","1.8710016012191772","1.8710016012191772","1.8710016012191772","1847","1847","1847"
"3269","1.7712838649749756","1.7712838649749756","1.7712838649749756","1852","1852","1852"
"3279","2.360389471054077","2.360389471054077","2.360389471054077","1857","1857","1857"
"3289","1.3431371450424194","1.3431371450424194","1.3431371450424194","1862","1862","1862"
"3299","1.7862268686294556","1.7862268686294556","1.7862268686294556","1867","1867","1867"
"3309","2.0257019996643066","2.0257019996643066","2.0257019996643066","1872","1872","1872"
"3319","1.934315800666809","1.934315800666809","1.934315800666809","1877","1877","1877"
"3329","1.138901710510254","1.138901710510254","1.138901710510254","1882","1882","1882"
"3339","1.5426963567733765","1.5426963567733765","1.5426963567733765","1887","1887","1887"
"3349","1.6232478618621826","1.6232478618621826","1.6232478618621826","1892","1892","1892"
"3359","1.3782862424850464","1.3782862424850464","1.3782862424850464","1897","1897","1897"
"3369","1.4821683168411255","1.4821683168411255","1.4821683168411255","1902","1902","1902"
"3379","1.5396171808242798","1.5396171808242798","1.5396171808242798","1907","1907","1907"
"3389","1.2384991645812988","1.2384991645812988","1.2384991645812988","1912","1912","1912"
"3399","1.8751591444015503","1.8751591444015503","1.8751591444015503","1917","1917","1917"
"3409","1.5664316415786743","1.5664316415786743","1.5664316415786743","1922","1922","1922"
"3419","1.8385695219039917","1.8385695219039917","1.8385695219039917","1927","1927","1927"
"3429","1.1480729579925537","1.1480729579925537","1.1480729579925537","1932","1932","1932"
"3439","1.3552765846252441","1.3552765846252441","1.3552765846252441","1937","1937","1937"
"3449","1.960863471031189","1.960863471031189","1.960863471031189","1942","1942","1942"
"3459","1.5496586561203003","1.5496586561203003","1.5496586561203003","1947","1947","1947"
"3469","1.1879111528396606","1.1879111528396606","1.1879111528396606","1952","1952","1952"
"3479","1.5098246335983276","1.5098246335983276","1.5098246335983276","1957","1957","1957"
"3489","1.1437385082244873","1.1437385082244873","1.1437385082244873","1963","1963","1963"
"3499","1.2270749807357788","1.2270749807357788","1.2270749807357788","1968","1968","1968"
"3509","1.96730375289917","1.96730375289917","1.96730375289917","2006","2006","2006"
"3519","1.327013373374939","1.327013373374939","1.327013373374939","2011","2011","2011"
"3529","1.958864688873291","1.958864688873291","1.958864688873291","2016","2016","2016"
"3539","3.620877504348755","3.620877504348755","3.620877504348755","2021","2021","2021"
"3549","1.4117885828018188","1.4117885828018188","1.4117885828018188","2026","2026","2026"
"3559","1.4584956169128418","1.4584956169128418","1.4584956169128418","2031","2031","2031"
