"trainer/global_step","c3g-sam-base - loss/total_step","c3g-sam-base - loss/total_step__MIN","c3g-sam-base - loss/total_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"709","0.564132571220398","0.564132571220398","0.564132571220398","397","397","397"
"719","0.6171016693115234","0.6171016693115234","0.6171016693115234","402","402","402"
"729","0.9447447061538696","0.9447447061538696","0.9447447061538696","407","407","407"
"739","0.7183610200881958","0.7183610200881958","0.7183610200881958","412","412","412"
"749","0.7763698697090149","0.7763698697090149","0.7763698697090149","417","417","417"
"759","0.8662521839141846","0.8662521839141846","0.8662521839141846","422","422","422"
"769","0.6763830780982971","0.6763830780982971","0.6763830780982971","427","427","427"
"779","1.0002611875534058","1.0002611875534058","1.0002611875534058","432","432","432"
"789","1.1373777389526367","1.1373777389526367","1.1373777389526367","437","437","437"
"799","0.8205193877220154","0.8205193877220154","0.8205193877220154","442","442","442"
"809","0.6385330557823181","0.6385330557823181","0.6385330557823181","448","448","448"
"819","0.5698453783988953","0.5698453783988953","0.5698453783988953","453","453","453"
"829","0.4931217432022095","0.4931217432022095","0.4931217432022095","458","458","458"
"839","0.5734758377075195","0.5734758377075195","0.5734758377075195","463","463","463"
"849","0.5065175294876099","0.5065175294876099","0.5065175294876099","468","468","468"
"859","0.5927067399024963","0.5927067399024963","0.5927067399024963","473","473","473"
"869","0.8995884656906128","0.8995884656906128","0.8995884656906128","478","478","478"
"879","0.7145472764968872","0.7145472764968872","0.7145472764968872","483","483","483"
"889","0.8166747093200684","0.8166747093200684","0.8166747093200684","488","488","488"
"899","0.9861409068107605","0.9861409068107605","0.9861409068107605","493","493","493"
"909","0.8296549916267395","0.8296549916267395","0.8296549916267395","498","498","498"
"919","1.0122534036636353","1.0122534036636353","1.0122534036636353","503","503","503"
"929","1.1359716653823853","1.1359716653823853","1.1359716653823853","508","508","508"
"939","0.8639346361160278","0.8639346361160278","0.8639346361160278","513","513","513"
"949","1.2162258625030518","1.2162258625030518","1.2162258625030518","518","518","518"
"959","1.85495126247406","1.85495126247406","1.85495126247406","523","523","523"
"969","0.9325731992721558","0.9325731992721558","0.9325731992721558","528","528","528"
"979","1.0742406845092773","1.0742406845092773","1.0742406845092773","533","533","533"
"989","1.5307962894439697","1.5307962894439697","1.5307962894439697","538","538","538"
"999","1.365182638168335","1.365182638168335","1.365182638168335","543","543","543"
"1009","1.223737359046936","1.223737359046936","1.223737359046936","581","581","581"
"1019","1.7462666034698486","1.7462666034698486","1.7462666034698486","586","586","586"
"1029","1.8814324140548706","1.8814324140548706","1.8814324140548706","591","591","591"
"1039","2.9131932258605957","2.9131932258605957","2.9131932258605957","596","596","596"
"1049","1.818095326423645","1.818095326423645","1.818095326423645","601","601","601"
"1059","1.7166587114334106","1.7166587114334106","1.7166587114334106","606","606","606"
"1069","2.1802806854248047","2.1802806854248047","2.1802806854248047","611","611","611"
"1079","2.322172164916992","2.322172164916992","2.322172164916992","617","617","617"
"1089","4.798728942871094","4.798728942871094","4.798728942871094","622","622","622"
"1099","1.788743257522583","1.788743257522583","1.788743257522583","627","627","627"
"1109","2.416415214538574","2.416415214538574","2.416415214538574","632","632","632"
"1119","1.7972679138183594","1.7972679138183594","1.7972679138183594","637","637","637"
"1129","3.043992519378662","3.043992519378662","3.043992519378662","642","642","642"
"1139","2.1257858276367188","2.1257858276367188","2.1257858276367188","647","647","647"
"1149","1.1671626567840576","1.1671626567840576","1.1671626567840576","652","652","652"
"1159","2.9754953384399414","2.9754953384399414","2.9754953384399414","657","657","657"
"1169","1.5571696758270264","1.5571696758270264","1.5571696758270264","662","662","662"
"1179","1.751606822013855","1.751606822013855","1.751606822013855","667","667","667"
"1189","1.88202702999115","1.88202702999115","1.88202702999115","672","672","672"
"1199","1.8206719160079956","1.8206719160079956","1.8206719160079956","677","677","677"
"1209","2.0433130264282227","2.0433130264282227","2.0433130264282227","682","682","682"
"1219","2.3270838260650635","2.3270838260650635","2.3270838260650635","687","687","687"
"1229","1.6898270845413208","1.6898270845413208","1.6898270845413208","692","692","692"
"1239","1.8339134454727173","1.8339134454727173","1.8339134454727173","697","697","697"
"1249","2.3220837116241455","2.3220837116241455","2.3220837116241455","702","702","702"
"1259","1.8191957473754883","1.8191957473754883","1.8191957473754883","707","707","707"
"1269","2.189884901046753","2.189884901046753","2.189884901046753","712","712","712"
"1279","2.1846368312835693","2.1846368312835693","2.1846368312835693","717","717","717"
"1289","2.4785454273223877","2.4785454273223877","2.4785454273223877","722","722","722"
"1299","2.281715154647827","2.281715154647827","2.281715154647827","727","727","727"
"1309","1.3294546604156494","1.3294546604156494","1.3294546604156494","732","732","732"
"1319","1.1478456258773804","1.1478456258773804","1.1478456258773804","737","737","737"
"1329","3.1743597984313965","3.1743597984313965","3.1743597984313965","742","742","742"
"1339","1.6525110006332397","1.6525110006332397","1.6525110006332397","747","747","747"
"1349","1.819397211074829","1.819397211074829","1.819397211074829","753","753","753"
"1359","1.4986268281936646","1.4986268281936646","1.4986268281936646","758","758","758"
"1369","1.458885669708252","1.458885669708252","1.458885669708252","763","763","763"
"1379","1.4304107427597046","1.4304107427597046","1.4304107427597046","768","768","768"
"1389","2.644526481628418","2.644526481628418","2.644526481628418","773","773","773"
"1399","1.9513070583343506","1.9513070583343506","1.9513070583343506","778","778","778"
"1409","1.6242676973342896","1.6242676973342896","1.6242676973342896","783","783","783"
"1419","1.716662049293518","1.716662049293518","1.716662049293518","788","788","788"
"1429","2.66995906829834","2.66995906829834","2.66995906829834","793","793","793"
"1439","1.4621562957763672","1.4621562957763672","1.4621562957763672","798","798","798"
"1449","1.9551782608032227","1.9551782608032227","1.9551782608032227","803","803","803"
"1459","2.1678221225738525","2.1678221225738525","2.1678221225738525","808","808","808"
"1469","2.613624095916748","2.613624095916748","2.613624095916748","813","813","813"
"1479","1.9300838708877563","1.9300838708877563","1.9300838708877563","818","818","818"
"1489","1.4136710166931152","1.4136710166931152","1.4136710166931152","823","823","823"
"1499","2.4568698406219482","2.4568698406219482","2.4568698406219482","828","828","828"
"1509","2.055480480194092","2.055480480194092","2.055480480194092","866","866","866"
"1519","2.42795729637146","2.42795729637146","2.42795729637146","871","871","871"
"1529","1.632256269454956","1.632256269454956","1.632256269454956","876","876","876"
"1539","1.8083802461624146","1.8083802461624146","1.8083802461624146","881","881","881"
"1549","1.5423744916915894","1.5423744916915894","1.5423744916915894","886","886","886"
"1559","2.2096774578094482","2.2096774578094482","2.2096774578094482","891","891","891"
"1569","1.848882794380188","1.848882794380188","1.848882794380188","896","896","896"
"1579","1.2518985271453857","1.2518985271453857","1.2518985271453857","901","901","901"
"1589","1.6368052959442139","1.6368052959442139","1.6368052959442139","906","906","906"
"1599","3.024075984954834","3.024075984954834","3.024075984954834","911","911","911"
"1609","1.584591269493103","1.584591269493103","1.584591269493103","917","917","917"
"1619","1.769127607345581","1.769127607345581","1.769127607345581","922","922","922"
"1629","2.236504554748535","2.236504554748535","2.236504554748535","927","927","927"
"1639","1.5761617422103882","1.5761617422103882","1.5761617422103882","932","932","932"
"1649","1.6236318349838257","1.6236318349838257","1.6236318349838257","937","937","937"
"1659","1.3348805904388428","1.3348805904388428","1.3348805904388428","942","942","942"
"1669","3.0180747509002686","3.0180747509002686","3.0180747509002686","947","947","947"
"1679","1.3562275171279907","1.3562275171279907","1.3562275171279907","952","952","952"
"1689","1.591468095779419","1.591468095779419","1.591468095779419","957","957","957"
"1699","1.8350468873977661","1.8350468873977661","1.8350468873977661","962","962","962"
"1709","1.8874239921569824","1.8874239921569824","1.8874239921569824","967","967","967"
"1719","1.6083333492279053","1.6083333492279053","1.6083333492279053","972","972","972"
"1729","2.297952651977539","2.297952651977539","2.297952651977539","977","977","977"
"1739","1.8813852071762085","1.8813852071762085","1.8813852071762085","982","982","982"
"1749","1.5403259992599487","1.5403259992599487","1.5403259992599487","987","987","987"
"1759","1.764284610748291","1.764284610748291","1.764284610748291","992","992","992"
"1769","1.3306002616882324","1.3306002616882324","1.3306002616882324","997","997","997"
"1779","2.091773509979248","2.091773509979248","2.091773509979248","1002","1002","1002"
"1789","2.2192764282226562","2.2192764282226562","2.2192764282226562","1007","1007","1007"
"1799","1.9071043729782104","1.9071043729782104","1.9071043729782104","1012","1012","1012"
"1809","1.4836087226867676","1.4836087226867676","1.4836087226867676","1017","1017","1017"
"1819","2.229218006134033","2.229218006134033","2.229218006134033","1022","1022","1022"
"1829","1.4524699449539185","1.4524699449539185","1.4524699449539185","1027","1027","1027"
"1839","2.05682373046875","2.05682373046875","2.05682373046875","1032","1032","1032"
"1849","2.094139814376831","2.094139814376831","2.094139814376831","1037","1037","1037"
"1859","2.260777711868286","2.260777711868286","2.260777711868286","1042","1042","1042"
"1869","2.1202030181884766","2.1202030181884766","2.1202030181884766","1047","1047","1047"
"1879","1.4767236709594727","1.4767236709594727","1.4767236709594727","1053","1053","1053"
"1889","2.539868116378784","2.539868116378784","2.539868116378784","1058","1058","1058"
"1899","2.6341986656188965","2.6341986656188965","2.6341986656188965","1063","1063","1063"
"1909","1.969238042831421","1.969238042831421","1.969238042831421","1068","1068","1068"
"1919","2.0157482624053955","2.0157482624053955","2.0157482624053955","1073","1073","1073"
"1929","1.9032341241836548","1.9032341241836548","1.9032341241836548","1078","1078","1078"
"1939","2.188687324523926","2.188687324523926","2.188687324523926","1083","1083","1083"
"1949","1.2026031017303467","1.2026031017303467","1.2026031017303467","1088","1088","1088"
"1959","2.1706302165985107","2.1706302165985107","2.1706302165985107","1093","1093","1093"
"1969","1.914520263671875","1.914520263671875","1.914520263671875","1098","1098","1098"
"1979","2.0309717655181885","2.0309717655181885","2.0309717655181885","1103","1103","1103"
"1989","1.1069715023040771","1.1069715023040771","1.1069715023040771","1108","1108","1108"
"1999","1.4552206993103027","1.4552206993103027","1.4552206993103027","1113","1113","1113"
"2009","2.9790024757385254","2.9790024757385254","2.9790024757385254","1151","1151","1151"
"2019","2.22210693359375","2.22210693359375","2.22210693359375","1156","1156","1156"
"2029","1.5511014461517334","1.5511014461517334","1.5511014461517334","1161","1161","1161"
"2039","1.3232536315917969","1.3232536315917969","1.3232536315917969","1166","1166","1166"
"2049","1.3887492418289185","1.3887492418289185","1.3887492418289185","1171","1171","1171"
"2059","1.7613165378570557","1.7613165378570557","1.7613165378570557","1176","1176","1176"
"2069","1.627305507659912","1.627305507659912","1.627305507659912","1181","1181","1181"
"2079","2.601468801498413","2.601468801498413","2.601468801498413","1186","1186","1186"
"2089","1.5356098413467407","1.5356098413467407","1.5356098413467407","1191","1191","1191"
"2099","1.4199273586273193","1.4199273586273193","1.4199273586273193","1196","1196","1196"
"2109","2.547473907470703","2.547473907470703","2.547473907470703","1201","1201","1201"
"2119","1.1285309791564941","1.1285309791564941","1.1285309791564941","1206","1206","1206"
"2129","1.0538175106048584","1.0538175106048584","1.0538175106048584","1211","1211","1211"
"2139","1.944554090499878","1.944554090499878","1.944554090499878","1216","1216","1216"
"2149","1.7040231227874756","1.7040231227874756","1.7040231227874756","1222","1222","1222"
"2159","1.822393774986267","1.822393774986267","1.822393774986267","1227","1227","1227"
"2169","2.011211395263672","2.011211395263672","2.011211395263672","1232","1232","1232"
"2179","1.382055401802063","1.382055401802063","1.382055401802063","1237","1237","1237"
"2189","2.121217966079712","2.121217966079712","2.121217966079712","1242","1242","1242"
"2199","2.0354702472686768","2.0354702472686768","2.0354702472686768","1247","1247","1247"
"2209","1.704607605934143","1.704607605934143","1.704607605934143","1252","1252","1252"
"2219","2.1441268920898438","2.1441268920898438","2.1441268920898438","1257","1257","1257"
"2229","2.0182595252990723","2.0182595252990723","2.0182595252990723","1262","1262","1262"
"2239","1.4625189304351807","1.4625189304351807","1.4625189304351807","1267","1267","1267"
"2249","1.4747846126556396","1.4747846126556396","1.4747846126556396","1272","1272","1272"
"2259","2.0600790977478027","2.0600790977478027","2.0600790977478027","1277","1277","1277"
"2269","1.3400121927261353","1.3400121927261353","1.3400121927261353","1282","1282","1282"
"2279","2.8143858909606934","2.8143858909606934","2.8143858909606934","1287","1287","1287"
"2289","2.1395301818847656","2.1395301818847656","2.1395301818847656","1292","1292","1292"
"2299","1.4427098035812378","1.4427098035812378","1.4427098035812378","1297","1297","1297"
"2309","1.2751562595367432","1.2751562595367432","1.2751562595367432","1302","1302","1302"
"2319","2.1121294498443604","2.1121294498443604","2.1121294498443604","1307","1307","1307"
"2329","1.5999951362609863","1.5999951362609863","1.5999951362609863","1312","1312","1312"
"2339","1.782649040222168","1.782649040222168","1.782649040222168","1317","1317","1317"
"2349","1.4012686014175415","1.4012686014175415","1.4012686014175415","1322","1322","1322"
"2359","1.743868112564087","1.743868112564087","1.743868112564087","1327","1327","1327"
"2369","2.593597650527954","2.593597650527954","2.593597650527954","1332","1332","1332"
"2379","2.1534180641174316","2.1534180641174316","2.1534180641174316","1337","1337","1337"
"2389","1.6022722721099854","1.6022722721099854","1.6022722721099854","1342","1342","1342"
"2399","1.646297812461853","1.646297812461853","1.646297812461853","1347","1347","1347"
"2409","1.5296587944030762","1.5296587944030762","1.5296587944030762","1352","1352","1352"
"2419","1.4612027406692505","1.4612027406692505","1.4612027406692505","1358","1358","1358"
"2429","2.9599223136901855","2.9599223136901855","2.9599223136901855","1363","1363","1363"
"2439","2.4902639389038086","2.4902639389038086","2.4902639389038086","1368","1368","1368"
"2449","1.3910226821899414","1.3910226821899414","1.3910226821899414","1373","1373","1373"
"2459","1.8388688564300537","1.8388688564300537","1.8388688564300537","1378","1378","1378"
"2469","1.8774656057357788","1.8774656057357788","1.8774656057357788","1383","1383","1383"
"2479","1.7317359447479248","1.7317359447479248","1.7317359447479248","1388","1388","1388"
"2489","1.294952392578125","1.294952392578125","1.294952392578125","1393","1393","1393"
"2499","1.990416407585144","1.990416407585144","1.990416407585144","1398","1398","1398"
"2509","1.7158945798873901","1.7158945798873901","1.7158945798873901","1436","1436","1436"
"2519","3.0050859451293945","3.0050859451293945","3.0050859451293945","1441","1441","1441"
"2529","2.3566064834594727","2.3566064834594727","2.3566064834594727","1446","1446","1446"
"2539","1.8046174049377441","1.8046174049377441","1.8046174049377441","1451","1451","1451"
"2549","2.2718613147735596","2.2718613147735596","2.2718613147735596","1456","1456","1456"
"2559","1.8331689834594727","1.8331689834594727","1.8331689834594727","1461","1461","1461"
"2569","1.8767659664154053","1.8767659664154053","1.8767659664154053","1466","1466","1466"
"2579","2.2283475399017334","2.2283475399017334","2.2283475399017334","1471","1471","1471"
"2589","1.4781538248062134","1.4781538248062134","1.4781538248062134","1476","1476","1476"
"2599","1.7695300579071045","1.7695300579071045","1.7695300579071045","1481","1481","1481"
"2609","2.2063841819763184","2.2063841819763184","2.2063841819763184","1486","1486","1486"
"2619","1.4158222675323486","1.4158222675323486","1.4158222675323486","1491","1491","1491"
"2629","2.105722188949585","2.105722188949585","2.105722188949585","1496","1496","1496"
"2639","2.091834783554077","2.091834783554077","2.091834783554077","1501","1501","1501"
"2649","2.2974460124969482","2.2974460124969482","2.2974460124969482","1506","1506","1506"
"2659","1.6037943363189697","1.6037943363189697","1.6037943363189697","1511","1511","1511"
"2669","2.139799118041992","2.139799118041992","2.139799118041992","1516","1516","1516"
"2679","2.6643879413604736","2.6643879413604736","2.6643879413604736","1521","1521","1521"
"2689","2.1187641620635986","2.1187641620635986","2.1187641620635986","1527","1527","1527"
"2699","1.39845871925354","1.39845871925354","1.39845871925354","1532","1532","1532"
"2709","1.6726068258285522","1.6726068258285522","1.6726068258285522","1537","1537","1537"
"2719","2.729283094406128","2.729283094406128","2.729283094406128","1542","1542","1542"
"2729","1.73265540599823","1.73265540599823","1.73265540599823","1547","1547","1547"
"2739","1.463138461112976","1.463138461112976","1.463138461112976","1552","1552","1552"
"2749","1.8255723714828491","1.8255723714828491","1.8255723714828491","1557","1557","1557"
"2759","1.547951102256775","1.547951102256775","1.547951102256775","1562","1562","1562"
"2769","1.197809100151062","1.197809100151062","1.197809100151062","1567","1567","1567"
"2779","1.224663496017456","1.224663496017456","1.224663496017456","1572","1572","1572"
"2789","1.1686680316925049","1.1686680316925049","1.1686680316925049","1577","1577","1577"
"2799","1.376090168952942","1.376090168952942","1.376090168952942","1582","1582","1582"
"2809","1.8420003652572632","1.8420003652572632","1.8420003652572632","1587","1587","1587"
"2819","2.208188056945801","2.208188056945801","2.208188056945801","1592","1592","1592"
"2829","1.9111545085906982","1.9111545085906982","1.9111545085906982","1597","1597","1597"
"2839","2.0679335594177246","2.0679335594177246","2.0679335594177246","1602","1602","1602"
"2849","1.4372024536132812","1.4372024536132812","1.4372024536132812","1607","1607","1607"
"2859","2.661271810531616","2.661271810531616","2.661271810531616","1612","1612","1612"
"2869","1.6745563745498657","1.6745563745498657","1.6745563745498657","1617","1617","1617"
"2879","2.2418551445007324","2.2418551445007324","2.2418551445007324","1622","1622","1622"
"2889","1.9877307415008545","1.9877307415008545","1.9877307415008545","1627","1627","1627"
"2899","1.6595845222473145","1.6595845222473145","1.6595845222473145","1632","1632","1632"
"2909","2.1553893089294434","2.1553893089294434","2.1553893089294434","1637","1637","1637"
"2919","2.1390252113342285","2.1390252113342285","2.1390252113342285","1642","1642","1642"
"2929","1.9191057682037354","1.9191057682037354","1.9191057682037354","1647","1647","1647"
"2939","2.3007185459136963","2.3007185459136963","2.3007185459136963","1652","1652","1652"
"2949","1.4857887029647827","1.4857887029647827","1.4857887029647827","1658","1658","1658"
"2959","1.558072566986084","1.558072566986084","1.558072566986084","1663","1663","1663"
"2969","1.579986810684204","1.579986810684204","1.579986810684204","1668","1668","1668"
"2979","1.5570695400238037","1.5570695400238037","1.5570695400238037","1673","1673","1673"
"2989","2.083503484725952","2.083503484725952","2.083503484725952","1678","1678","1678"
"2999","1.328352928161621","1.328352928161621","1.328352928161621","1683","1683","1683"
"3009","1.3565787076950073","1.3565787076950073","1.3565787076950073","1721","1721","1721"
"3019","1.577256202697754","1.577256202697754","1.577256202697754","1726","1726","1726"
"3029","2.177361249923706","2.177361249923706","2.177361249923706","1731","1731","1731"
"3039","2.0340304374694824","2.0340304374694824","2.0340304374694824","1736","1736","1736"
"3049","1.9381386041641235","1.9381386041641235","1.9381386041641235","1741","1741","1741"
"3059","1.4328869581222534","1.4328869581222534","1.4328869581222534","1746","1746","1746"
"3069","2.5458970069885254","2.5458970069885254","2.5458970069885254","1751","1751","1751"
"3079","1.4095771312713623","1.4095771312713623","1.4095771312713623","1756","1756","1756"
"3089","1.6785653829574585","1.6785653829574585","1.6785653829574585","1761","1761","1761"
"3099","3.1420340538024902","3.1420340538024902","3.1420340538024902","1766","1766","1766"
"3109","1.4142874479293823","1.4142874479293823","1.4142874479293823","1771","1771","1771"
"3119","1.6677908897399902","1.6677908897399902","1.6677908897399902","1776","1776","1776"
"3129","2.1395764350891113","2.1395764350891113","2.1395764350891113","1781","1781","1781"
"3139","1.7197952270507812","1.7197952270507812","1.7197952270507812","1786","1786","1786"
"3149","1.7366774082183838","1.7366774082183838","1.7366774082183838","1791","1791","1791"
"3159","1.921066164970398","1.921066164970398","1.921066164970398","1796","1796","1796"
"3169","1.7642308473587036","1.7642308473587036","1.7642308473587036","1801","1801","1801"
"3179","1.8196938037872314","1.8196938037872314","1.8196938037872314","1806","1806","1806"
"3189","1.1001828908920288","1.1001828908920288","1.1001828908920288","1811","1811","1811"
"3199","2.113436698913574","2.113436698913574","2.113436698913574","1816","1816","1816"
"3209","1.8646169900894165","1.8646169900894165","1.8646169900894165","1821","1821","1821"
"3219","1.4089882373809814","1.4089882373809814","1.4089882373809814","1827","1827","1827"
"3229","1.9036238193511963","1.9036238193511963","1.9036238193511963","1832","1832","1832"
"3239","1.26145339012146","1.26145339012146","1.26145339012146","1837","1837","1837"
"3249","2.016026496887207","2.016026496887207","2.016026496887207","1842","1842","1842"
"3259","2.0584542751312256","2.0584542751312256","2.0584542751312256","1847","1847","1847"
"3269","2.1143062114715576","2.1143062114715576","2.1143062114715576","1852","1852","1852"
"3279","2.801605224609375","2.801605224609375","2.801605224609375","1857","1857","1857"
"3289","1.5093371868133545","1.5093371868133545","1.5093371868133545","1862","1862","1862"
"3299","2.060239315032959","2.060239315032959","2.060239315032959","1867","1867","1867"
"3309","2.4563026428222656","2.4563026428222656","2.4563026428222656","1872","1872","1872"
"3319","2.3059134483337402","2.3059134483337402","2.3059134483337402","1877","1877","1877"
"3329","1.402490258216858","1.402490258216858","1.402490258216858","1882","1882","1882"
"3339","1.8108512163162231","1.8108512163162231","1.8108512163162231","1887","1887","1887"
"3349","1.7658673524856567","1.7658673524856567","1.7658673524856567","1892","1892","1892"
"3359","1.7626466751098633","1.7626466751098633","1.7626466751098633","1897","1897","1897"
"3369","1.9155919551849365","1.9155919551849365","1.9155919551849365","1902","1902","1902"
"3379","1.8795678615570068","1.8795678615570068","1.8795678615570068","1907","1907","1907"
"3389","1.5232667922973633","1.5232667922973633","1.5232667922973633","1912","1912","1912"
"3399","2.072587490081787","2.072587490081787","2.072587490081787","1917","1917","1917"
"3409","2.1884493827819824","2.1884493827819824","2.1884493827819824","1922","1922","1922"
"3419","2.2676360607147217","2.2676360607147217","2.2676360607147217","1927","1927","1927"
"3429","1.6017858982086182","1.6017858982086182","1.6017858982086182","1932","1932","1932"
"3439","1.6859240531921387","1.6859240531921387","1.6859240531921387","1937","1937","1937"
"3449","2.1846847534179688","2.1846847534179688","2.1846847534179688","1942","1942","1942"
"3459","1.9237346649169922","1.9237346649169922","1.9237346649169922","1947","1947","1947"
"3469","1.359933853149414","1.359933853149414","1.359933853149414","1952","1952","1952"
"3479","1.7713687419891357","1.7713687419891357","1.7713687419891357","1957","1957","1957"
"3489","1.4677393436431885","1.4677393436431885","1.4677393436431885","1963","1963","1963"
"3499","1.3586910963058472","1.3586910963058472","1.3586910963058472","1968","1968","1968"
"3509","2.3628220558166504","2.3628220558166504","2.3628220558166504","2006","2006","2006"
"3519","1.5729529857635498","1.5729529857635498","1.5729529857635498","2011","2011","2011"
"3529","2.6068458557128906","2.6068458557128906","2.6068458557128906","2016","2016","2016"
"3539","4.206024169921875","4.206024169921875","4.206024169921875","2021","2021","2021"
"3549","1.6852831840515137","1.6852831840515137","1.6852831840515137","2026","2026","2026"
"3559","1.838855266571045","1.838855266571045","1.838855266571045","2031","2031","2031"
"3569","2.0760109424591064","2.0760109424591064","2.0760109424591064","2036","2036","2036"
"3579","1.6851565837860107","1.6851565837860107","1.6851565837860107","2041","2041","2041"
