"trainer/global_step","c3g-sam-base - loss/feature_rendering_loss_step","c3g-sam-base - loss/feature_rendering_loss_step__MIN","c3g-sam-base - loss/feature_rendering_loss_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"2709","1","1","1","1537","1537","1537"
"2719","1","1","1","1542","1542","1542"
"2729","1","1","1","1547","1547","1547"
"2739","1","1","1","1552","1552","1552"
"2749","1","1","1","1557","1557","1557"
"2759","1","1","1","1562","1562","1562"
"2769","1","1","1","1567","1567","1567"
"2779","1","1","1","1572","1572","1572"
"2789","1","1","1","1577","1577","1577"
"2799","1","1","1","1582","1582","1582"
"2809","1","1","1","1587","1587","1587"
"2819","0.9827265739440918","0.9827265739440918","0.9827265739440918","1592","1592","1592"
"2829","1","1","1","1597","1597","1597"
"2839","1","1","1","1602","1602","1602"
"2849","0.9706227779388428","0.9706227779388428","0.9706227779388428","1607","1607","1607"
"2859","1","1","1","1612","1612","1612"
"2869","1","1","1","1617","1617","1617"
"2879","1","1","1","1622","1622","1622"
"2889","1","1","1","1627","1627","1627"
"2899","1","1","1","1632","1632","1632"
"2909","0.9730252623558044","0.9730252623558044","0.9730252623558044","1637","1637","1637"
"2919","1","1","1","1642","1642","1642"
"2929","0.9852153658866882","0.9852153658866882","0.9852153658866882","1647","1647","1647"
"2939","1","1","1","1652","1652","1652"
"2949","1","1","1","1658","1658","1658"
"2959","1","1","1","1663","1663","1663"
"2969","1","1","1","1668","1668","1668"
"2979","1","1","1","1673","1673","1673"
"2989","1","1","1","1678","1678","1678"
"2999","1","1","1","1683","1683","1683"
"3009","1","1","1","1721","1721","1721"
"3019","1","1","1","1726","1726","1726"
"3029","1","1","1","1731","1731","1731"
"3039","1","1","1","1736","1736","1736"
"3049","1","1","1","1741","1741","1741"
"3059","1","1","1","1746","1746","1746"
"3069","1","1","1","1751","1751","1751"
"3079","1","1","1","1756","1756","1756"
"3089","1","1","1","1761","1761","1761"
"3099","1","1","1","1766","1766","1766"
"3109","1","1","1","1771","1771","1771"
"3119","1","1","1","1776","1776","1776"
"3129","1","1","1","1781","1781","1781"
"3139","1","1","1","1786","1786","1786"
"3149","1","1","1","1791","1791","1791"
"3159","1","1","1","1796","1796","1796"
"3169","1","1","1","1801","1801","1801"
"3179","1","1","1","1806","1806","1806"
"3189","1","1","1","1811","1811","1811"
"3199","1","1","1","1816","1816","1816"
"3209","1","1","1","1821","1821","1821"
"3219","1","1","1","1827","1827","1827"
"3229","1","1","1","1832","1832","1832"
"3239","1","1","1","1837","1837","1837"
"3249","1","1","1","1842","1842","1842"
"3259","1","1","1","1847","1847","1847"
"3269","1","1","1","1852","1852","1852"
"3279","1","1","1","1857","1857","1857"
"3289","1","1","1","1862","1862","1862"
"3299","1","1","1","1867","1867","1867"
"3309","1","1","1","1872","1872","1872"
"3319","1","1","1","1877","1877","1877"
"3329","1","1","1","1882","1882","1882"
"3339","1","1","1","1887","1887","1887"
"3349","1","1","1","1892","1892","1892"
"3359","1","1","1","1897","1897","1897"
"3369","1","1","1","1902","1902","1902"
"3379","1","1","1","1907","1907","1907"
"3389","1","1","1","1912","1912","1912"
"3399","1","1","1","1917","1917","1917"
"3409","1","1","1","1922","1922","1922"
"3419","1","1","1","1927","1927","1927"
"3429","1","1","1","1932","1932","1932"
"3439","1","1","1","1937","1937","1937"
"3449","1","1","1","1942","1942","1942"
"3459","1","1","1","1947","1947","1947"
"3469","0.9689957499504089","0.9689957499504089","0.9689957499504089","1952","1952","1952"
"3479","0.974144458770752","0.974144458770752","0.974144458770752","1957","1957","1957"
"3489","1","1","1","1963","1963","1963"
"3499","1","1","1","1968","1968","1968"
"3509","1","1","1","2006","2006","2006"
"3519","1","1","1","2011","2011","2011"
"3529","1","1","1","2016","2016","2016"
"3539","1","1","1","2021","2021","2021"
"3549","0.8642930388450623","0.8642930388450623","0.8642930388450623","2026","2026","2026"
"3559","1","1","1","2031","2031","2031"
"3569","0.9930023550987244","0.9930023550987244","0.9930023550987244","2036","2036","2036"
"3579","1","1","1","2041","2041","2041"
"3589","1","1","1","2046","2046","2046"
"3599","0.8850640654563904","0.8850640654563904","0.8850640654563904","2051","2051","2051"
"3609","0.880586564540863","0.880586564540863","0.880586564540863","2056","2056","2056"
"3619","0.9294676780700684","0.9294676780700684","0.9294676780700684","2061","2061","2061"
"3629","1","1","1","2066","2066","2066"
"3639","1","1","1","2071","2071","2071"
"3649","1","1","1","2076","2076","2076"
"3659","1","1","1","2081","2081","2081"
"3669","1","1","1","2086","2086","2086"
"3679","1","1","1","2091","2091","2091"
"3689","1","1","1","2096","2096","2096"
"3699","1","1","1","2101","2101","2101"
"3709","1","1","1","2106","2106","2106"
"3719","1","1","1","2111","2111","2111"
"3729","1","1","1","2116","2116","2116"
"3739","1","1","1","2121","2121","2121"
"3749","1","1","1","2126","2126","2126"
"3759","1","1","1","2132","2132","2132"
"3769","1","1","1","2137","2137","2137"
"3779","1","1","1","2142","2142","2142"
"3789","1","1","1","2147","2147","2147"
"3799","1","1","1","2152","2152","2152"
"3809","1","1","1","2157","2157","2157"
"3819","1","1","1","2162","2162","2162"
"3829","1","1","1","2167","2167","2167"
"3839","1","1","1","2172","2172","2172"
"3849","1","1","1","2177","2177","2177"
"3859","1","1","1","2182","2182","2182"
"3869","1","1","1","2187","2187","2187"
"3879","1","1","1","2192","2192","2192"
"3889","0.9697432518005371","0.9697432518005371","0.9697432518005371","2197","2197","2197"
"3899","1","1","1","2202","2202","2202"
"3909","1","1","1","2207","2207","2207"
"3919","1","1","1","2212","2212","2212"
"3929","1","1","1","2217","2217","2217"
"3939","1","1","1","2222","2222","2222"
"3949","1","1","1","2227","2227","2227"
"3959","0.9707812666893005","0.9707812666893005","0.9707812666893005","2232","2232","2232"
"3969","1","1","1","2237","2237","2237"
"3979","1","1","1","2242","2242","2242"
"3989","0.7437909841537476","0.7437909841537476","0.7437909841537476","2247","2247","2247"
"3999","0.8314032554626465","0.8314032554626465","0.8314032554626465","2252","2252","2252"
"4009","0.8678502440452576","0.8678502440452576","0.8678502440452576","2290","2290","2290"
"4019","1","1","1","2295","2295","2295"
"4029","1","1","1","2301","2301","2301"
"4039","1","1","1","2306","2306","2306"
"4049","1","1","1","2311","2311","2311"
"4059","1","1","1","2316","2316","2316"
"4069","1","1","1","2321","2321","2321"
"4079","0.974906325340271","0.974906325340271","0.974906325340271","2326","2326","2326"
"4089","1","1","1","2331","2331","2331"
"4099","1","1","1","2336","2336","2336"
"4109","0.9170677065849304","0.9170677065849304","0.9170677065849304","2341","2341","2341"
"4119","1","1","1","2346","2346","2346"
"4129","1","1","1","2351","2351","2351"
"4139","1","1","1","2356","2356","2356"
"4149","1","1","1","2361","2361","2361"
"4159","1","1","1","2366","2366","2366"
"4169","1","1","1","2371","2371","2371"
"4179","1","1","1","2376","2376","2376"
"4189","1","1","1","2381","2381","2381"
"4199","1","1","1","2386","2386","2386"
"4209","0.9749433994293213","0.9749433994293213","0.9749433994293213","2391","2391","2391"
"4219","1","1","1","2396","2396","2396"
"4229","1","1","1","2401","2401","2401"
"4239","1","1","1","2406","2406","2406"
"4249","1","1","1","2411","2411","2411"
"4259","1","1","1","2416","2416","2416"
"4269","1","1","1","2421","2421","2421"
