"trainer/global_step","c3g-sam-base - loss/lpips_step","c3g-sam-base - loss/lpips_step__MIN","c3g-sam-base - loss/lpips_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"1029","0.03436112403869629","0.03436112403869629","0.03436112403869629","591","591","591"
"1039","0.03486022725701332","0.03486022725701332","0.03486022725701332","596","596","596"
"1049","0.03409809619188309","0.03409809619188309","0.03409809619188309","601","601","601"
"1059","0.034839220345020294","0.034839220345020294","0.034839220345020294","606","606","606"
"1069","0.03398237004876137","0.03398237004876137","0.03398237004876137","611","611","611"
"1079","0.035245057195425034","0.035245057195425034","0.035245057195425034","617","617","617"
"1089","0.03548559546470642","0.03548559546470642","0.03548559546470642","622","622","622"
"1099","0.03448101133108139","0.03448101133108139","0.03448101133108139","627","627","627"
"1109","0.036861032247543335","0.036861032247543335","0.036861032247543335","632","632","632"
"1119","0.03371545672416687","0.03371545672416687","0.03371545672416687","637","637","637"
"1129","0.035352081060409546","0.035352081060409546","0.035352081060409546","642","642","642"
"1139","0.03451985865831375","0.03451985865831375","0.03451985865831375","647","647","647"
"1149","0.031097501516342163","0.031097501516342163","0.031097501516342163","652","652","652"
"1159","0.03521427884697914","0.03521427884697914","0.03521427884697914","657","657","657"
"1169","0.033997975289821625","0.033997975289821625","0.033997975289821625","662","662","662"
"1179","0.035550232976675034","0.035550232976675034","0.035550232976675034","667","667","667"
"1189","0.035892926156520844","0.035892926156520844","0.035892926156520844","672","672","672"
"1199","0.03553074225783348","0.03553074225783348","0.03553074225783348","677","677","677"
"1209","0.032426755875349045","0.032426755875349045","0.032426755875349045","682","682","682"
"1219","0.03371420502662659","0.03371420502662659","0.03371420502662659","687","687","687"
"1229","0.034462425857782364","0.034462425857782364","0.034462425857782364","692","692","692"
"1239","0.035372551530599594","0.035372551530599594","0.035372551530599594","697","697","697"
"1249","0.03393579646945","0.03393579646945","0.03393579646945","702","702","702"
"1259","0.033888064324855804","0.033888064324855804","0.033888064324855804","707","707","707"
"1269","0.0326201431453228","0.0326201431453228","0.0326201431453228","712","712","712"
"1279","0.030500946566462517","0.030500946566462517","0.030500946566462517","717","717","717"
"1289","0.03816155716776848","0.03816155716776848","0.03816155716776848","722","722","722"
"1299","0.03643225133419037","0.03643225133419037","0.03643225133419037","727","727","727"
"1309","0.03574071079492569","0.03574071079492569","0.03574071079492569","732","732","732"
"1319","0.0325053334236145","0.0325053334236145","0.0325053334236145","737","737","737"
"1329","0.035120412707328796","0.035120412707328796","0.035120412707328796","742","742","742"
"1339","0.03139450401067734","0.03139450401067734","0.03139450401067734","747","747","747"
"1349","0.03390084207057953","0.03390084207057953","0.03390084207057953","753","753","753"
"1359","0.031901657581329346","0.031901657581329346","0.031901657581329346","758","758","758"
"1369","0.03234921768307686","0.03234921768307686","0.03234921768307686","763","763","763"
"1379","0.0336390845477581","0.0336390845477581","0.0336390845477581","768","768","768"
"1389","0.03434690460562706","0.03434690460562706","0.03434690460562706","773","773","773"
"1399","0.03280961513519287","0.03280961513519287","0.03280961513519287","778","778","778"
"1409","0.03464951738715172","0.03464951738715172","0.03464951738715172","783","783","783"
"1419","0.03508494049310684","0.03508494049310684","0.03508494049310684","788","788","788"
"1429","0.034425802528858185","0.034425802528858185","0.034425802528858185","793","793","793"
"1439","0.03398699313402176","0.03398699313402176","0.03398699313402176","798","798","798"
"1449","0.034187208861112595","0.034187208861112595","0.034187208861112595","803","803","803"
"1459","0.033194392919540405","0.033194392919540405","0.033194392919540405","808","808","808"
"1469","0.029270291328430176","0.029270291328430176","0.029270291328430176","813","813","813"
"1479","0.036540135741233826","0.036540135741233826","0.036540135741233826","818","818","818"
"1489","0.0353982150554657","0.0353982150554657","0.0353982150554657","823","823","823"
"1499","0.035071976482868195","0.035071976482868195","0.035071976482868195","828","828","828"
"1509","0.03472983464598656","0.03472983464598656","0.03472983464598656","866","866","866"
"1519","0.030880236998200417","0.030880236998200417","0.030880236998200417","871","871","871"
"1529","0.03523195907473564","0.03523195907473564","0.03523195907473564","876","876","876"
"1539","0.035845909267663956","0.035845909267663956","0.035845909267663956","881","881","881"
"1549","0.03163928911089897","0.03163928911089897","0.03163928911089897","886","886","886"
"1559","0.03605102002620697","0.03605102002620697","0.03605102002620697","891","891","891"
"1569","0.03454263135790825","0.03454263135790825","0.03454263135790825","896","896","896"
"1579","0.03375355154275894","0.03375355154275894","0.03375355154275894","901","901","901"
"1589","0.033684179186820984","0.033684179186820984","0.033684179186820984","906","906","906"
"1599","0.03340444713830948","0.03340444713830948","0.03340444713830948","911","911","911"
"1609","0.035904597491025925","0.035904597491025925","0.035904597491025925","917","917","917"
"1619","0.03516871854662895","0.03516871854662895","0.03516871854662895","922","922","922"
"1629","0.0336085669696331","0.0336085669696331","0.0336085669696331","927","927","927"
"1639","0.0352807454764843","0.0352807454764843","0.0352807454764843","932","932","932"
"1649","0.03539542481303215","0.03539542481303215","0.03539542481303215","937","937","937"
"1659","0.0351712591946125","0.0351712591946125","0.0351712591946125","942","942","942"
"1669","0.03465098887681961","0.03465098887681961","0.03465098887681961","947","947","947"
"1679","0.0329451821744442","0.0329451821744442","0.0329451821744442","952","952","952"
"1689","0.03618599846959114","0.03618599846959114","0.03618599846959114","957","957","957"
"1699","0.03444143384695053","0.03444143384695053","0.03444143384695053","962","962","962"
"1709","0.03665871545672417","0.03665871545672417","0.03665871545672417","967","967","967"
"1719","0.03352724015712738","0.03352724015712738","0.03352724015712738","972","972","972"
"1729","0.030808378010988235","0.030808378010988235","0.030808378010988235","977","977","977"
"1739","0.03337480500340462","0.03337480500340462","0.03337480500340462","982","982","982"
"1749","0.03350256755948067","0.03350256755948067","0.03350256755948067","987","987","987"
"1759","0.03198360279202461","0.03198360279202461","0.03198360279202461","992","992","992"
"1769","0.0316583625972271","0.0316583625972271","0.0316583625972271","997","997","997"
"1779","0.03465650975704193","0.03465650975704193","0.03465650975704193","1002","1002","1002"
"1789","0.03427034243941307","0.03427034243941307","0.03427034243941307","1007","1007","1007"
"1799","0.035439301282167435","0.035439301282167435","0.035439301282167435","1012","1012","1012"
"1809","0.03317846730351448","0.03317846730351448","0.03317846730351448","1017","1017","1017"
"1819","0.03493282198905945","0.03493282198905945","0.03493282198905945","1022","1022","1022"
"1829","0.034847889095544815","0.034847889095544815","0.034847889095544815","1027","1027","1027"
"1839","0.035356324166059494","0.035356324166059494","0.035356324166059494","1032","1032","1032"
"1849","0.03411884978413582","0.03411884978413582","0.03411884978413582","1037","1037","1037"
"1859","0.03441593423485756","0.03441593423485756","0.03441593423485756","1042","1042","1042"
"1869","0.033609602600336075","0.033609602600336075","0.033609602600336075","1047","1047","1047"
"1879","0.03461422398686409","0.03461422398686409","0.03461422398686409","1053","1053","1053"
"1889","0.03526514396071434","0.03526514396071434","0.03526514396071434","1058","1058","1058"
"1899","0.03472527116537094","0.03472527116537094","0.03472527116537094","1063","1063","1063"
"1909","0.034448157995939255","0.034448157995939255","0.034448157995939255","1068","1068","1068"
"1919","0.032791029661893845","0.032791029661893845","0.032791029661893845","1073","1073","1073"
"1929","0.03526716306805611","0.03526716306805611","0.03526716306805611","1078","1078","1078"
"1939","0.03598300367593765","0.03598300367593765","0.03598300367593765","1083","1083","1083"
"1949","0.032696936279535294","0.032696936279535294","0.032696936279535294","1088","1088","1088"
"1959","0.03607959300279617","0.03607959300279617","0.03607959300279617","1093","1093","1093"
"1969","0.03351438045501709","0.03351438045501709","0.03351438045501709","1098","1098","1098"
"1979","0.03665071353316307","0.03665071353316307","0.03665071353316307","1103","1103","1103"
"1989","0.03512893617153168","0.03512893617153168","0.03512893617153168","1108","1108","1108"
"1999","0.03400520607829094","0.03400520607829094","0.03400520607829094","1113","1113","1113"
"2009","0.035218581557273865","0.035218581557273865","0.035218581557273865","1151","1151","1151"
"2019","0.035049356520175934","0.035049356520175934","0.035049356520175934","1156","1156","1156"
"2029","0.034504614770412445","0.034504614770412445","0.034504614770412445","1161","1161","1161"
"2039","0.03336753323674202","0.03336753323674202","0.03336753323674202","1166","1166","1166"
"2049","0.03398679196834564","0.03398679196834564","0.03398679196834564","1171","1171","1171"
"2059","0.03316066786646843","0.03316066786646843","0.03316066786646843","1176","1176","1176"
"2069","0.03461366519331932","0.03461366519331932","0.03461366519331932","1181","1181","1181"
"2079","0.033518265932798386","0.033518265932798386","0.033518265932798386","1186","1186","1186"
"2089","0.03566376864910126","0.03566376864910126","0.03566376864910126","1191","1191","1191"
"2099","0.034448444843292236","0.034448444843292236","0.034448444843292236","1196","1196","1196"
"2109","0.03432612493634224","0.03432612493634224","0.03432612493634224","1201","1201","1201"
"2119","0.034241337329149246","0.034241337329149246","0.034241337329149246","1206","1206","1206"
"2129","0.031067365780472755","0.031067365780472755","0.031067365780472755","1211","1211","1211"
"2139","0.03415878862142563","0.03415878862142563","0.03415878862142563","1216","1216","1216"
"2149","0.03499383479356766","0.03499383479356766","0.03499383479356766","1222","1222","1222"
"2159","0.03381442651152611","0.03381442651152611","0.03381442651152611","1227","1227","1227"
"2169","0.03501243516802788","0.03501243516802788","0.03501243516802788","1232","1232","1232"
"2179","0.03399510309100151","0.03399510309100151","0.03399510309100151","1237","1237","1237"
"2189","0.03226245567202568","0.03226245567202568","0.03226245567202568","1242","1242","1242"
"2199","0.03519992157816887","0.03519992157816887","0.03519992157816887","1247","1247","1247"
"2209","0.03366336226463318","0.03366336226463318","0.03366336226463318","1252","1252","1252"
"2219","0.034753285348415375","0.034753285348415375","0.034753285348415375","1257","1257","1257"
"2229","0.0333695113658905","0.0333695113658905","0.0333695113658905","1262","1262","1262"
"2239","0.03503234311938286","0.03503234311938286","0.03503234311938286","1267","1267","1267"
"2249","0.03471256420016289","0.03471256420016289","0.03471256420016289","1272","1272","1272"
"2259","0.032595690339803696","0.032595690339803696","0.032595690339803696","1277","1277","1277"
"2269","0.03532160446047783","0.03532160446047783","0.03532160446047783","1282","1282","1282"
"2279","0.036703791469335556","0.036703791469335556","0.036703791469335556","1287","1287","1287"
"2289","0.03341667726635933","0.03341667726635933","0.03341667726635933","1292","1292","1292"
"2299","0.03501197323203087","0.03501197323203087","0.03501197323203087","1297","1297","1297"
"2309","0.03188879415392876","0.03188879415392876","0.03188879415392876","1302","1302","1302"
"2319","0.03384904935956001","0.03384904935956001","0.03384904935956001","1307","1307","1307"
"2329","0.03521621227264404","0.03521621227264404","0.03521621227264404","1312","1312","1312"
"2339","0.03644774109125137","0.03644774109125137","0.03644774109125137","1317","1317","1317"
"2349","0.03813797980546951","0.03813797980546951","0.03813797980546951","1322","1322","1322"
"2359","0.03731324523687363","0.03731324523687363","0.03731324523687363","1327","1327","1327"
"2369","0.034298378974199295","0.034298378974199295","0.034298378974199295","1332","1332","1332"
"2379","0.033479850739240646","0.033479850739240646","0.033479850739240646","1337","1337","1337"
"2389","0.032693248242139816","0.032693248242139816","0.032693248242139816","1342","1342","1342"
"2399","0.03537612035870552","0.03537612035870552","0.03537612035870552","1347","1347","1347"
"2409","0.03462845832109451","0.03462845832109451","0.03462845832109451","1352","1352","1352"
"2419","0.03388018533587456","0.03388018533587456","0.03388018533587456","1358","1358","1358"
"2429","0.034489914774894714","0.034489914774894714","0.034489914774894714","1363","1363","1363"
"2439","0.034040968865156174","0.034040968865156174","0.034040968865156174","1368","1368","1368"
"2449","0.03646824508905411","0.03646824508905411","0.03646824508905411","1373","1373","1373"
"2459","0.03423384204506874","0.03423384204506874","0.03423384204506874","1378","1378","1378"
"2469","0.030903851613402367","0.030903851613402367","0.030903851613402367","1383","1383","1383"
"2479","0.03424448519945145","0.03424448519945145","0.03424448519945145","1388","1388","1388"
"2489","0.03176406770944595","0.03176406770944595","0.03176406770944595","1393","1393","1393"
"2499","0.03437673673033714","0.03437673673033714","0.03437673673033714","1398","1398","1398"
"2509","0.03428441286087036","0.03428441286087036","0.03428441286087036","1436","1436","1436"
"2519","0.03457844257354736","0.03457844257354736","0.03457844257354736","1441","1441","1441"
"2529","0.03602692857384682","0.03602692857384682","0.03602692857384682","1446","1446","1446"
"2539","0.03600410744547844","0.03600410744547844","0.03600410744547844","1451","1451","1451"
"2549","0.034651029855012894","0.034651029855012894","0.034651029855012894","1456","1456","1456"
"2559","0.033387765288352966","0.033387765288352966","0.033387765288352966","1461","1461","1461"
"2569","0.03251183032989502","0.03251183032989502","0.03251183032989502","1466","1466","1466"
"2579","0.03484538570046425","0.03484538570046425","0.03484538570046425","1471","1471","1471"
"2589","0.031630586832761765","0.031630586832761765","0.031630586832761765","1476","1476","1476"
"2599","0.03225023299455643","0.03225023299455643","0.03225023299455643","1481","1481","1481"
"2609","0.03225254267454147","0.03225254267454147","0.03225254267454147","1486","1486","1486"
"2619","0.03366383910179138","0.03366383910179138","0.03366383910179138","1491","1491","1491"
"2629","0.03639627620577812","0.03639627620577812","0.03639627620577812","1496","1496","1496"
"2639","0.03392856940627098","0.03392856940627098","0.03392856940627098","1501","1501","1501"
"2649","0.03557726740837097","0.03557726740837097","0.03557726740837097","1506","1506","1506"
"2659","0.03411618247628212","0.03411618247628212","0.03411618247628212","1511","1511","1511"
"2669","0.03513886407017708","0.03513886407017708","0.03513886407017708","1516","1516","1516"
"2679","0.03495369851589203","0.03495369851589203","0.03495369851589203","1521","1521","1521"
"2689","0.03352129086852074","0.03352129086852074","0.03352129086852074","1527","1527","1527"
"2699","0.033816251903772354","0.033816251903772354","0.033816251903772354","1532","1532","1532"
"2709","0.03022702969610691","0.03022702969610691","0.03022702969610691","1537","1537","1537"
"2719","0.035533830523490906","0.035533830523490906","0.035533830523490906","1542","1542","1542"
"2729","0.035985346883535385","0.035985346883535385","0.035985346883535385","1547","1547","1547"
"2739","0.03417700156569481","0.03417700156569481","0.03417700156569481","1552","1552","1552"
"2749","0.0344589464366436","0.0344589464366436","0.0344589464366436","1557","1557","1557"
"2759","0.034758832305669785","0.034758832305669785","0.034758832305669785","1562","1562","1562"
"2769","0.034644823521375656","0.034644823521375656","0.034644823521375656","1567","1567","1567"
"2779","0.033145736902952194","0.033145736902952194","0.033145736902952194","1572","1572","1572"
"2789","0.03409489244222641","0.03409489244222641","0.03409489244222641","1577","1577","1577"
"2799","0.03366539627313614","0.03366539627313614","0.03366539627313614","1582","1582","1582"
"2809","0.0321507528424263","0.0321507528424263","0.0321507528424263","1587","1587","1587"
"2819","0.0348377600312233","0.0348377600312233","0.0348377600312233","1592","1592","1592"
"2829","0.03633003309369087","0.03633003309369087","0.03633003309369087","1597","1597","1597"
"2839","0.03428986668586731","0.03428986668586731","0.03428986668586731","1602","1602","1602"
"2849","0.03408873826265335","0.03408873826265335","0.03408873826265335","1607","1607","1607"
"2859","0.03356738016009331","0.03356738016009331","0.03356738016009331","1612","1612","1612"
"2869","0.03412921354174614","0.03412921354174614","0.03412921354174614","1617","1617","1617"
"2879","0.03520713746547699","0.03520713746547699","0.03520713746547699","1622","1622","1622"
"2889","0.03234756737947464","0.03234756737947464","0.03234756737947464","1627","1627","1627"
"2899","0.03382255509495735","0.03382255509495735","0.03382255509495735","1632","1632","1632"
"2909","0.033620357513427734","0.033620357513427734","0.033620357513427734","1637","1637","1637"
"2919","0.033375535160303116","0.033375535160303116","0.033375535160303116","1642","1642","1642"
"2929","0.033791255205869675","0.033791255205869675","0.033791255205869675","1647","1647","1647"
"2939","0.033683475106954575","0.033683475106954575","0.033683475106954575","1652","1652","1652"
"2949","0.03669462352991104","0.03669462352991104","0.03669462352991104","1658","1658","1658"
"2959","0.035236772149801254","0.035236772149801254","0.035236772149801254","1663","1663","1663"
"2969","0.031352605670690536","0.031352605670690536","0.031352605670690536","1668","1668","1668"
"2979","0.03520531579852104","0.03520531579852104","0.03520531579852104","1673","1673","1673"
"2989","0.034529853612184525","0.034529853612184525","0.034529853612184525","1678","1678","1678"
"2999","0.03525895997881889","0.03525895997881889","0.03525895997881889","1683","1683","1683"
"3009","0.03583540767431259","0.03583540767431259","0.03583540767431259","1721","1721","1721"
"3019","0.0344686359167099","0.0344686359167099","0.0344686359167099","1726","1726","1726"
"3029","0.035239238291978836","0.035239238291978836","0.035239238291978836","1731","1731","1731"
"3039","0.033673498779535294","0.033673498779535294","0.033673498779535294","1736","1736","1736"
"3049","0.03597577288746834","0.03597577288746834","0.03597577288746834","1741","1741","1741"
"3059","0.0328303799033165","0.0328303799033165","0.0328303799033165","1746","1746","1746"
"3069","0.03228276968002319","0.03228276968002319","0.03228276968002319","1751","1751","1751"
"3079","0.034341711550951004","0.034341711550951004","0.034341711550951004","1756","1756","1756"
"3089","0.03385522961616516","0.03385522961616516","0.03385522961616516","1761","1761","1761"
"3099","0.030695972964167595","0.030695972964167595","0.030695972964167595","1766","1766","1766"
"3109","0.03326054662466049","0.03326054662466049","0.03326054662466049","1771","1771","1771"
"3119","0.034680187702178955","0.034680187702178955","0.034680187702178955","1776","1776","1776"
"3129","0.03490562364459038","0.03490562364459038","0.03490562364459038","1781","1781","1781"
"3139","0.03539769724011421","0.03539769724011421","0.03539769724011421","1786","1786","1786"
"3149","0.035809095948934555","0.035809095948934555","0.035809095948934555","1791","1791","1791"
"3159","0.03469834104180336","0.03469834104180336","0.03469834104180336","1796","1796","1796"
"3169","0.03447059914469719","0.03447059914469719","0.03447059914469719","1801","1801","1801"
"3179","0.03479231521487236","0.03479231521487236","0.03479231521487236","1806","1806","1806"
"3189","0.03365349397063255","0.03365349397063255","0.03365349397063255","1811","1811","1811"
"3199","0.03674662113189697","0.03674662113189697","0.03674662113189697","1816","1816","1816"
"3209","0.032828234136104584","0.032828234136104584","0.032828234136104584","1821","1821","1821"
"3219","0.0334128811955452","0.0334128811955452","0.0334128811955452","1827","1827","1827"
"3229","0.035149481147527695","0.035149481147527695","0.035149481147527695","1832","1832","1832"
"3239","0.03410656005144119","0.03410656005144119","0.03410656005144119","1837","1837","1837"
"3249","0.038756657391786575","0.038756657391786575","0.038756657391786575","1842","1842","1842"
"3259","0.033152688294649124","0.033152688294649124","0.033152688294649124","1847","1847","1847"
"3269","0.035441312938928604","0.035441312938928604","0.035441312938928604","1852","1852","1852"
"3279","0.034443628042936325","0.034443628042936325","0.034443628042936325","1857","1857","1857"
"3289","0.03315974026918411","0.03315974026918411","0.03315974026918411","1862","1862","1862"
"3299","0.03619076684117317","0.03619076684117317","0.03619076684117317","1867","1867","1867"
"3309","0.03565747290849686","0.03565747290849686","0.03565747290849686","1872","1872","1872"
"3319","0.03421579301357269","0.03421579301357269","0.03421579301357269","1877","1877","1877"
"3329","0.034072596579790115","0.034072596579790115","0.034072596579790115","1882","1882","1882"
"3339","0.034191589802503586","0.034191589802503586","0.034191589802503586","1887","1887","1887"
"3349","0.032497283071279526","0.032497283071279526","0.032497283071279526","1892","1892","1892"
"3359","0.03532940894365311","0.03532940894365311","0.03532940894365311","1897","1897","1897"
"3369","0.03484192118048668","0.03484192118048668","0.03484192118048668","1902","1902","1902"
"3379","0.03521626815199852","0.03521626815199852","0.03521626815199852","1907","1907","1907"
"3389","0.0349334254860878","0.0349334254860878","0.0349334254860878","1912","1912","1912"
"3399","0.03375907614827156","0.03375907614827156","0.03375907614827156","1917","1917","1917"
"3409","0.032788604497909546","0.032788604497909546","0.032788604497909546","1922","1922","1922"
"3419","0.034886498004198074","0.034886498004198074","0.034886498004198074","1927","1927","1927"
"3429","0.03521634265780449","0.03521634265780449","0.03521634265780449","1932","1932","1932"
"3439","0.032521724700927734","0.032521724700927734","0.032521724700927734","1937","1937","1937"
"3449","0.029861822724342346","0.029861822724342346","0.029861822724342346","1942","1942","1942"
"3459","0.03340296819806099","0.03340296819806099","0.03340296819806099","1947","1947","1947"
"3469","0.03144579380750656","0.03144579380750656","0.03144579380750656","1952","1952","1952"
"3479","0.032039541751146317","0.032039541751146317","0.032039541751146317","1957","1957","1957"
"3489","0.0352618508040905","0.0352618508040905","0.0352618508040905","1963","1963","1963"
"3499","0.03226536139845848","0.03226536139845848","0.03226536139845848","1968","1968","1968"
"3509","0.035325657576322556","0.035325657576322556","0.035325657576322556","2006","2006","2006"
